YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000033	0.0390191	0.2294111	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436769
0.5327664	0.0000068	0.2294110	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436769
0.5274705	0.0388516	0.0000030	0.3935479	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436769
0.5326857	0.8228850	0.9999973	0.0000000	0.9775093	0.3371484	0.9332637	0.9659528	1.0000000	0.0436769
0.5296954	0.0389422	0.2093819	0.9999966	0.0000045	0.9867818	0.9332637	0.9659528	1.0000000	0.9996838
0.5300516	0.0390237	0.2304675	0.3865125	0.9999983	0.0000039	0.9332637	0.9659528	1.0000000	0.0436627
0.9968524	0.0390240	0.2304775	0.3865105	0.9999989	0.0325565	0.0000036	0.9659528	1.0000000	0.0436627
0.9968512	0.0390240	0.2304780	0.3865104	0.9999989	0.0325578	0.0040932	0.0000000	1.0000000	0.0436627
0.9968365	0.0390240	0.2304765	0.3865107	0.9999988	0.0325590	0.0046068	0.0833741	0.0000018	0.0436627
0.5300353	0.0390191	0.2294111	0.3935478	0.9775095	0.3371482	0.9332637	0.9659528	1.0000000	0.0000032
