YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0842945	0.7005054	0.1791002	0.3097208	0.0848154	0.3076048	0.1084151	0.5455356	0.7088940	0.7947932
0.3643573	0.4040054	0.2841251	0.4373337	0.1315813	0.3149209	0.2153883	0.3950652	0.8042143	0.8816623
0.1319702	0.6950886	0.0910562	0.2726164	0.0487210	0.3011584	0.2238680	0.3783404	0.7422321	0.8420342
0.1524938	0.8141921	0.3824965	0.1673100	0.0327854	0.2276517	0.2736832	0.4555238	0.7286285	0.6757393
0.1679365	0.8575900	0.1918749	0.3508535	0.0122661	0.3541209	0.1959849	0.4933044	0.7179851	0.6816878
0.1688354	0.7338561	0.3651769	0.2059831	0.0259308	0.1781107	0.2003479	0.3869769	0.6349828	0.7164111
0.1673177	0.6793433	0.0811018	0.4397795	0.1740587	0.7101886	0.0863297	0.3303701	0.7220054	0.8082346
0.1872490	0.7664749	0.2771929	0.2073353	0.0453683	0.3028432	0.1978532	0.2688919	0.6890529	0.7888120
0.1253705	0.7664218	0.1604074	0.3104097	0.0681604	0.2587089	0.2415596	0.6734637	0.4716567	0.8135421
0.2443915	0.8598335	0.1535776	0.2806273	0.0482497	0.3187379	0.1722826	0.7387168	0.5024136	0.3681229
