YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.3838291	0.4445149	0.7413644	0.5742612	0.7395041	0.1743170	0.1036505	1.0524889	1.0101262	1.0979370
0.8918888	0.2315470	0.8029493	0.5944875	0.7264461	0.1388718	0.1106354	1.0721164	0.9308319	0.9980468
1.0228063	0.2272261	0.4444978	0.5466287	0.7230185	0.1503914	0.0946437	0.9658987	1.0571859	1.0614885
0.7151688	0.4674791	0.6720131	0.4599447	0.4089666	0.1760932	0.0865072	0.9538527	0.5709161	0.9884181
0.4423535	0.5563266	0.7994288	0.8743967	0.4677620	0.1808320	0.1110303	0.9226545	0.9906516	0.9152666
0.6393063	0.5485807	0.7486716	0.6580808	0.6269116	0.0750034	0.1039892	0.9446742	0.8894936	1.0841882
0.6117197	0.5184526	0.7929571	0.6100505	0.7349032	0.0795021	0.0560516	0.9523441	0.9632567	0.9773224
0.5734111	0.5396657	0.7051240	0.5172475	0.5832355	0.3395830	0.1694830	0.5237639	0.8110913	1.0874153
0.9077210	0.3519993	0.7302287	0.5369696	0.6791132	0.1654623	0.0952103	1.0078671	0.4618311	1.0001240
0.5211683	0.5163673	0.7683917	0.6039548	0.7032280	0.1995888	0.1380447	1.0584091	1.0500546	0.4935349
