YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.0207545	0.9071974	0.9967001	0.0229769	0.2160728	0.4145581	0.5822480	0.0659288	0.9475372	1.0000000
0.2615248	0.4535991	0.9967025	0.0229696	0.2160727	0.4145581	0.5822479	0.0659288	0.9475372	1.0000000
0.1764439	0.5250581	0.4983519	0.0229727	0.2160726	0.4145581	0.6339186	0.0659288	0.9475372	1.0000000
0.0414132	0.9078530	0.9992799	0.0114968	0.2160731	0.4145581	0.5821711	0.0659288	0.9475372	1.0000000
0.0414577	0.9073066	0.9971252	0.0216141	0.1081188	0.4145581	0.5822350	0.0659288	0.9475372	1.0000000
0.1607735	0.9073141	0.9971430	0.0215750	0.0906455	0.2072794	0.5822336	0.0659288	0.9475372	1.0000000
0.0414671	0.9071975	0.9967003	0.0229765	0.2160727	0.4145581	0.2912630	0.0659288	0.9475372	1.0000000
0.1004821	0.9073068	0.9971173	0.0216532	0.1196531	0.2594568	0.5828374	0.0329645	0.9475372	1.0000000
0.0251173	0.9062360	0.9930281	0.0319465	0.3415488	0.6135576	0.5625106	0.1417336	0.4737686	1.0000000
0.0214772	0.9037349	0.9837136	0.0464020	0.4187276	0.7482650	0.3839316	0.2542075	0.3523988	0.5000000
