"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.2144703	0.4391424	0.4673758	0.9651313	0.5234360	0.9799921	0.9697746	0.3940411	0.1681471	1.0000000
50	0.2145446	0.4388814	0.4745939	0.8626261	0.5233957	0.9797585	0.9691229	0.3696452	0.1232506	1.0000000
100	0.2151002	0.4333782	0.5215813	0.7333880	0.5231818	0.9747192	0.9508153	0.2475612	0.0687589	1.0000000
150	0.2162549	0.4152439	0.5998540	0.6506334	0.5210266	0.9392878	0.7763923	0.1179057	0.0357957	1.0000000
200	0.2176886	0.3891404	0.6766027	0.6065594	0.5052084	0.7225829	0.4084166	0.0459796	0.0195197	1.0000000
250	0.2189959	0.3646208	0.7340233	0.5866590	0.4247532	0.3087251	0.1791092	0.0165795	0.0123558	1.0000000
300	0.2199252	0.3465003	0.7699706	0.5816738	0.2720721	0.0887809	0.0866707	0.0062836	0.0094468	1.0000000
350	0.2204284	0.3350134	0.7889090	0.5827039	0.1432520	0.0236324	0.0539741	0.0029716	0.0083052	1.0000000
400	0.2206257	0.3285820	0.7971458	0.5844200	0.0726153	0.0082936	0.0429211	0.0019581	0.0078390	1.0000000
450	0.2206702	0.3253944	0.7999800	0.5855756	0.0410067	0.0050464	0.0392486	0.0016569	0.0076292	1.0000000
500	0.2206608	0.3240129	0.8005928	0.5862080	0.0282033	0.0043964	0.0380366	0.0015687	0.0075248	1.0000000
550	0.2203209	0.3236302	0.7924913	0.6923393	0.0232833	0.0042708	0.0376377	0.0023662	0.0675478	1.0000000
600	0.2188099	0.3263369	0.7411140	0.8258855	0.0214490	0.0044219	0.0375114	0.0237769	0.1301712	1.0000000
650	0.2170605	0.3372178	0.6584490	0.9114126	0.0207992	0.0079010	0.0406011	0.0865531	0.1588949	1.0000000
700	0.2157904	0.3570740	0.5799305	0.9573081	0.0209780	0.0431176	0.1160372	0.1618726	0.1679710	1.0000000
750	0.2150376	0.3814516	0.5222825	0.9800595	0.0349882	0.3202799	0.3604000	0.2269220	0.1693415	1.0000000
800	0.2146356	0.4046663	0.4856763	0.9908638	0.1280460	0.6891522	0.6210181	0.2787443	0.1685135	1.0000000
850	0.2144332	0.4230886	0.4644409	0.9958167	0.2738502	0.8750967	0.7909874	0.3193179	0.1674464	1.0000000
900	0.2143354	0.4358437	0.4529004	0.9972985	0.3906019	0.9427891	0.8821152	0.3499178	0.1666533	1.0000000
