YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
1.0400905	0.9140342	0.9307365	0.2961767	0.4658894	0.6565161	0.7193740	0.1362681	0.7887171	0.0347534
1.0917032	0.9292941	0.9379279	0.2570944	0.4847209	0.7406873	0.4342938	0.1359010	0.9066694	0.0214060
0.9720915	0.8344188	0.9215522	0.1695201	0.5293594	0.6991380	0.6500018	0.1599920	1.0562944	0.0197031
1.0128268	0.6942798	0.5062070	0.6475296	0.3343011	0.7107953	0.4378543	0.2541693	0.6202318	0.0911908
0.9304399	0.7677454	0.5315383	0.2469394	0.2912873	0.6654046	0.6782403	0.0928327	0.8228207	0.0719890
0.8307587	0.9154303	1.0030993	0.2166179	0.5053103	0.8633380	0.4714108	0.3501187	1.0946232	0.0343769
0.6515393	0.7534334	1.0334329	0.3125928	0.5069911	0.6968810	0.5232622	0.2082843	1.0429338	0.0240276
0.7153660	0.8381550	1.0118890	0.0414701	0.8083833	0.7384469	0.6195909	0.1238149	0.5878627	0.0137626
0.9827831	0.8784576	1.0408960	0.2030398	0.4682153	0.7547796	0.5056724	0.1653323	0.9723207	0.0171180
0.9583163	1.0727453	0.9247464	0.4084965	0.5047061	0.7315923	0.5634175	0.1226889	0.8941914	0.0345110
