YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W
0.0834403	0.0041040	0.8903861	0.3705316	0.7944623	0.4036320	0.0005908	0.3768805	0.6622913	0.4029963
0.2919970	0.0042812	0.8627198	0.2222490	0.5983219	1.0000000	0.0033111	0.3157912	0.6656013	0.3799330
0.4540898	0.0608267	0.3545737	0.6629924	0.4748735	0.8199040	0.0929190	0.3665305	0.6903146	0.5036290
0.1985714	0.0106112	0.5892871	0.5495533	0.6969769	0.9999989	0.0429380	0.3502394	0.7355436	0.5712202
0.3899715	0.0038502	0.9400073	0.3923254	0.8520781	0.5980993	0.0949574	0.2865615	0.4847507	0.3125419
0.5677528	0.0011934	0.8518229	0.4731609	0.7813700	0.9998994	0.0926288	0.3964188	0.6169065	0.4202818
0.5705350	0.0057324	0.7351761	0.5118964	0.7374618	0.9999816	0.0691778	0.3596646	0.7080828	0.4162599
0.0243862	0.0119232	0.5695436	0.5661590	0.6113623	0.9250461	0.0936494	0.3242091	0.8192802	0.5850117
0.0093684	0.0041939	0.8752886	0.4368614	0.8248389	1.0000000	0.0037049	0.3292100	0.6518283	0.4095877
0.0026423	0.0038641	0.9366414	0.3966677	0.7700959	1.0000000	0.0004419	0.4147773	0.5762822	0.3826923
