YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.6708743	0.0000000	0.4886948	0.7988002	0.6164594	0.7971527	0.9999942	0.0000000	0.5802294	1.0000000
0.7873392	1.0000000	0.0000000	0.7501306	0.5197369	0.0000018	0.1200779	0.9451338	0.3612410	1.0000000
0.7873397	0.9999999	0.0000000	0.7635636	0.5432897	0.0078774	0.0000000	0.9451360	0.3612404	1.0000000
0.5312466	0.4502607	0.4887843	0.0000000	0.6164639	0.7972337	0.9911134	0.0767623	0.0000000	1.0000000
0.5142551	0.4502534	0.4887857	0.7988282	0.6164640	0.7972391	0.9999997	0.0000000	0.0939261	0.0000000
