YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.4506010	0.9521803	0.3352394	0.0493582	0.9788499	0.7554816	0.6509552	0.5981384	0.7255102	0.0723048
0.7993382	0.4718705	0.2469747	0.0593389	1.0567031	0.8390053	0.6428282	0.7010300	0.7297116	0.0717317
0.9886569	1.0169431	0.2263931	0.0871923	0.9902114	0.8670071	0.6269555	0.6263662	0.6571794	0.0774845
0.8712850	0.9489896	0.1766009	0.0348522	0.9410265	0.9435703	0.5520804	0.5843190	0.7840243	0.0389053
0.9336584	0.9761159	0.3139791	0.0656201	0.5072113	0.7256096	0.6388530	0.6482077	0.5976952	0.1061267
0.9460508	1.0688650	0.4801324	0.0561320	0.9872528	0.3140570	0.6519489	0.5795207	0.5506667	0.0779892
0.9716407	1.0082119	0.4959357	0.0822825	1.0490430	1.0522923	0.3001907	0.7131195	0.5335317	0.1141876
1.0050244	1.0111776	0.2446061	0.0480587	0.9848111	0.9987790	0.4687669	0.2818794	0.7830125	0.0789294
1.0107205	1.1146782	0.3500246	0.0679815	1.0008833	0.5511390	0.7208231	0.8935468	0.2494839	0.0597157
0.8949866	1.0304551	0.3119620	0.0657421	1.0700573	0.8123034	0.5460139	0.5882918	0.6181003	0.0366320
