YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.5568068	0.3039114	0.9593264	0.5234551	0.4556390	0.5348427	0.9424315	0.8411633	0.0695452	0.6624719
0.2399146	0.1836756	1.0503194	1.0253036	0.2719183	0.8465003	1.0501463	0.7223011	0.0939110	0.4803923
0.4311704	0.2175274	0.9741483	0.8903697	0.1102477	1.0554235	0.7751547	0.9985968	0.9961351	0.0961588
0.5990296	0.3334607	1.0049219	1.0805956	0.0916219	1.0736203	1.0354974	1.0780411	0.9927599	0.0581878
0.7353963	0.3568482	1.0170134	0.3198251	0.6468613	0.5042244	0.8360995	1.0692477	0.0296119	0.8626137
0.6876897	0.3717830	0.8968942	1.0236723	0.2121140	0.7337078	0.8214552	1.0421805	0.8210239	0.3059484
0.4081550	0.2409614	1.0428923	0.9800318	0.3035528	0.8702519	0.9247244	0.9425769	0.2378491	0.4208592
0.3281581	0.2677216	1.0437467	0.9380218	0.1748581	1.1271322	0.8454935	1.0040993	0.7706505	0.0491002
0.4255014	0.2620528	0.9983501	0.9241362	0.1849638	0.9977677	0.8344606	0.9990375	0.0597414	0.5727148
0.5386418	0.3527459	1.0048037	0.9632218	0.1865486	0.9414978	0.9394863	0.9617577	0.9870228	0.0851843
