YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.4237001	0.6876823	0.5181035	0.0693456	0.0514166	0.2343836	0.6396290	0.1449599	0.0000000
0.0416269	0.0000000	0.5199141	0.3055395	0.0000000	0.0827777	0.2178969	0.7255736	0.3471386	0.9405370
0.0292329	0.0028708	0.0000000	0.3641068	0.0166957	0.0097366	0.0000000	0.6885731	0.3696100	0.7331570
0.0155712	0.0224469	0.0332134	0.0000000	0.0570612	0.0165434	0.7499192	0.0000000	0.3510252	0.8188124
0.7769142	0.3783753	0.5121413	0.5122732	0.0000000	0.4629785	0.5111755	0.4027990	0.0134537	0.0000000
