YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1085360	0.1769473	0.4608918	0.7707779	0.3725157	0.4231499	0.0942631	0.0708472	0.0490715	0.4231816
0.1185033	0.4177168	0.6516059	0.8793627	0.0001204	0.0129475	0.4595288	0.6285655	0.6720580	0.0579180
0.1035646	0.6217025	0.4209556	0.6479062	0.4601204	0.8362533	0.0713420	0.1759262	0.0066722	0.7247140
0.2190387	0.2971872	0.5001230	0.5977631	0.4183158	0.6118513	0.0008880	0.0118882	0.0078407	0.7528114
0.2380683	0.3374610	0.4597483	0.6500903	0.7264999	0.3996224	0.1320652	0.0634982	0.0143514	0.6400678
0.1229244	0.4026122	0.4609222	0.8349032	0.5018699	0.6310477	0.0025907	0.0395331	0.0168763	0.8235673
0.3437953	0.1911607	0.6044309	0.7231336	0.0003935	0.0150118	0.3545606	0.4778620	0.0445188	0.7067931
0.1669937	0.2851922	0.5346311	0.6237356	0.2429406	0.4272503	0.1214352	0.1602475	0.0468348	0.5184425
0.2348351	0.2980792	0.5406261	0.6417403	0.5381319	0.7529136	0.0045629	0.0594048	0.0284697	0.7309055
0.0331217	0.4954883	0.2218185	0.4513273	0.0026425	0.0137601	0.5498156	0.3184424	0.0642911	0.4674934
