YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000000	0.0373548	0.2452817	0.3738987	1.0081834	0.3621177	0.9876793	1.0566935	1.0980213	0.0476274
0.5632937	0.0000000	0.2059386	0.3862391	0.9785303	0.3276469	0.8718190	0.9419522	1.0217693	0.0360313
0.5249124	0.0325091	0.0000000	0.3485301	1.0737846	0.3789486	0.9596577	0.8689966	1.0423893	0.0463540
0.5595197	0.8968991	0.9958355	0.0000000	0.9077686	0.3384833	0.9583929	1.0361530	0.9973558	0.0282367
0.5092368	0.0408187	0.1940905	1.0645315	0.0000000	1.0840735	0.9479763	0.9936523	1.0460021	1.0126692
0.5692347	0.0354816	0.2315613	0.3885435	0.8821493	0.0000000	0.9502510	0.9869186	1.0475062	0.0576149
0.9489057	0.0381024	0.2305818	0.4611960	0.9915993	0.0492568	0.0000000	0.9127123	1.1501542	0.0606935
1.0601866	0.0470536	0.2327776	0.4069626	1.0370486	0.0417648	0.0046428	0.0000000	1.0149854	0.0357876
1.0397473	0.0506887	0.2383282	0.4837230	1.0353112	0.0509686	0.0039193	0.0495436	0.0000000	0.0387233
0.4947072	0.0179218	0.2332905	0.2901328	0.9091832	0.3277007	0.9616269	1.0112034	0.9541974	0.0000000
