"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W

0	0.6985998	0.1498415	0.3550918	0.3150911	0.1665918	0.7471554	0.8057380	0.4872485	0.7376801	0.6600240
50	0.7581310	0.2029902	0.2318168	0.3273796	0.1360358	0.7912268	0.8760307	0.4595808	0.7790981	0.8365479
100	0.9032973	0.0944866	0.1281375	0.3016268	0.0956232	0.7352512	0.8312579	0.4999032	0.7334461	0.9617849
150	0.7619350	0.1745402	0.1365047	0.3637546	0.1919890	0.8085854	0.6359873	0.5339154	0.6922879	0.6993484
200	0.6941391	0.0889575	0.0865988	0.5103155	0.1915358	0.7290072	0.7730882	0.5150634	0.8117473	0.7144735
250	0.6893519	0.0805987	0.0939189	0.4761289	0.0983053	0.6185442	0.6651809	0.5441999	0.8338649	0.6717262
300	0.6259970	0.0248928	0.0770083	0.4598259	0.1144881	0.5560336	0.7629900	0.5484051	0.7280324	0.6253241
350	0.5702661	0.1033223	0.0449568	0.4849083	0.1733601	0.6463672	0.8853208	0.4609405	0.8765542	0.8581587
400	0.5928892	0.0426820	0.1298180	0.3873551	0.1790044	0.7052021	0.7416281	0.5700516	0.7222827	0.7136009
450	0.6912260	0.0923850	0.1461794	0.3476092	0.1692514	0.8805239	0.7202148	0.6461384	0.6773945	0.8050469
500	0.6229810	0.1328492	0.1314656	0.4571285	0.1066872	0.7919458	0.7465430	0.5462677	0.8398590	0.9520085
550	0.6951596	0.0818627	0.1985443	0.3557684	0.0857435	0.8990533	0.8356482	0.6862970	0.6719899	0.9735220
600	0.6488410	0.0792527	0.2752365	0.4358406	0.1215104	0.7919731	0.8321569	0.5690331	0.7608614	0.7189870
650	0.6042810	0.0978873	0.2612367	0.3101601	0.1046989	0.9080820	0.6785486	0.4485201	0.7885681	0.6999006
700	0.7191759	0.1234947	0.3749629	0.3268691	0.1066919	0.7235216	0.8400385	0.5004473	0.7568392	0.7089696
750	0.7886152	0.1719550	0.3607302	0.3513346	0.0907484	0.8790199	0.6668784	0.5014520	0.6207607	0.7462332
800	0.7742202	0.2269111	0.3013904	0.3332929	0.1045113	0.8821281	0.8335766	0.5702232	0.6691664	0.8684176
850	0.7819286	0.2128302	0.3499790	0.3886898	0.1233611	0.7778547	0.7415871	0.4617255	0.7264871	0.6822994
900	0.7256654	0.2296957	0.3147212	0.4222048	0.0572821	0.8469570	0.6662651	0.5219770	0.7872292	0.8071759
950	0.7591867	0.2693259	0.3440708	0.4479036	0.0573822	0.7939694	0.8662819	0.4644548	0.7604783	0.8102452
1000	0.7343321	0.1727080	0.2757130	0.3104679	0.0658611	0.8606402	0.8334181	0.5631404	0.8733054	0.7725606

0	0.6858114	0.2001617	0.3010055	0.2788084	0.1425312	0.8060221	0.7759605	0.6839395	0.7735215	0.7821915
50	0.7404894	0.4727890	0.3949832	0.2312942	0.1076171	0.7120961	0.8897709	0.6336743	0.7847111	0.8346276
100	0.7048542	0.5636895	0.5439564	0.1104186	0.0869923	0.7383522	0.7546218	0.6623952	0.6205554	0.6473473
150	0.6936034	0.6079302	0.5857328	0.0945838	0.0990403	0.5705754	0.7715294	0.7360532	0.7676522	0.6905235
200	0.8277194	0.7772212	0.6831931	0.0694328	0.1443098	0.6761901	0.6353649	0.6884129	0.6248989	0.8965030
250	0.8807627	0.8619916	0.6837316	0.1199237	0.1324343	0.6677529	0.7066053	0.5205873	0.7255623	0.8938579
300	0.6753091	0.7153027	0.7311948	0.0843457	0.1272568	0.8962027	0.7063046	0.5846864	0.7070150	0.7614245
350	0.7623771	0.6636328	0.5995691	0.0895048	0.1072084	0.8073524	0.8521778	0.7160984	0.6900163	0.8461055
400	0.7392628	0.7111742	0.8617487	0.0571115	0.1040917	0.9093732	0.9019990	0.6001416	0.6153620	0.7132913
450	0.7044168	0.7328224	0.6661973	0.0614882	0.1535554	0.7712126	0.8882974	0.7699451	0.8756401	0.7558996
500	0.7174543	0.7685526	0.6172748	0.0930323	0.0901522	0.7876865	0.8102962	0.5583715	0.8630289	0.8306563
550	0.6444238	0.7565747	0.6431478	0.0693130	0.1660838	0.8037047	0.8067506	0.6389123	0.8021766	0.8411748
600	0.8484566	0.6375303	0.7152999	0.1485063	0.0955181	0.8956146	0.7292293	0.6686840	0.9757817	0.7256193
650	0.8660424	0.6984668	0.6212733	0.1053329	0.0548799	0.7991192	0.7665557	0.5645059	0.7523757	0.7608301
700	0.6364674	0.6479407	0.6581904	0.1753673	0.0765945	0.6177922	0.7939212	0.3999432	0.7401869	0.7764093
750	0.6472249	0.6163198	0.5558070	0.1962200	0.1268676	0.7089226	0.7192702	0.5048843	0.6212202	1.0082899
800	0.7697142	0.6168400	0.6270793	0.1771069	0.1266960	0.8223256	0.8470498	0.4498759	0.8932958	0.7180378
850	0.7687329	0.5179713	0.4403101	0.1743450	0.1402276	0.7526543	0.8270733	0.5670711	0.8303687	0.6987069
900	0.6836056	0.5563146	0.5518828	0.1772225	0.1346862	0.6769226	0.7206807	0.6619145	1.0257563	0.8105892
