YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.9988837	0.6932013	0.9018173	0.4911205	0.7164570	0.3149548	0.2846395	0.8573493	0.9030664	1.0000000
0.9986064	0.6169081	0.8360306	0.3984389	0.7707983	0.3431862	0.3219101	0.8933205	0.9616536	1.0000000
0.9714703	0.6506527	0.7002260	0.4172468	0.4514785	0.2184292	0.3198101	0.8962232	0.8201603	1.0000000
0.8951935	0.3581411	0.4768116	0.2564337	0.6053449	0.3122916	0.7857454	0.4752237	0.8793481	1.0000000
0.9610022	0.4831290	0.6986238	0.4624039	0.8759326	0.6213889	0.6913263	0.5502945	0.7028584	0.3307965
0.9987580	0.6773112	0.9837725	0.8293691	0.3167300	0.1440898	0.3219194	0.8933064	0.7159599	1.0000000
0.9897794	0.4944743	0.7227021	0.3993923	0.6105290	0.3154221	0.4535176	0.5449104	0.7585604	0.3542597
0.8454389	0.2594505	0.2638642	0.5816293	0.9366767	0.7585253	0.9632295	0.2673948	0.8209795	0.4251605
0.9995509	0.7538689	0.9861112	0.5553413	0.0181228	0.0044432	0.1293853	0.8932222	0.5149933	1.0000000
0.9712570	0.6398961	0.8333937	0.9542103	0.4310201	0.1193098	0.3121210	0.8704597	0.8008346	0.9220032
