YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.5572541	0.3301678	0.9391328	0.6098003	0.4459122	0.5179038	0.9241005	0.7566996	0.0632337	0.6748358
0.2634231	0.2113504	0.9747712	0.9324089	0.2897063	0.8289586	1.0329759	0.6614084	0.1281420	0.4424456
0.3615335	0.2814098	0.9997450	0.7930750	0.0891927	1.0086806	0.7801370	0.9744755	1.0273477	0.1156008
0.5694654	0.2876087	1.0309937	1.0749450	0.0918485	1.0446400	0.9475726	0.9777411	0.9422621	0.0523665
0.7433982	0.3727347	1.0764995	0.3726501	0.6288704	0.5346006	0.7846092	1.0395192	0.0169142	0.8171020
0.6997008	0.3953457	0.9692857	0.9302853	0.2035451	0.7671945	0.8049692	0.9779885	0.7905647	0.2633241
0.4043101	0.2360443	1.0655363	0.8045843	0.2328007	0.8216915	0.9379550	0.8399130	0.2729929	0.4348823
0.3950633	0.2428113	1.0467814	0.9412909	0.1657202	1.0751973	0.8985280	0.9544998	0.8107923	0.0388688
0.4291000	0.2334331	1.0807871	0.9727585	0.1548591	1.0061369	0.8542448	1.0079726	0.0385655	0.6436760
0.5617205	0.3538559	1.0179787	0.9899293	0.2288141	0.9964191	0.9265625	1.0002054	0.9534416	0.0636135
