YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1599515	0.2599686	0.0036964	0.0271515	0.7231010	0.4624239	0.5476390	0.4012815	0.5344219	0.7446502
0.4921039	0.2419834	0.1494892	0.0372648	0.5674155	0.1626935	0.1634856	0.4194635	0.6402064	0.6942584
0.0780012	0.3730950	0.0016307	0.0044145	0.5603695	0.1673568	0.1505279	0.3871908	0.6637457	0.6142468
0.0212423	0.2230985	0.0378452	0.0059090	0.4855931	0.4419224	0.6667707	0.6128781	0.6465185	0.7683547
0.1014065	0.1783888	0.0188421	0.0002106	0.7734123	0.4712601	0.4361896	0.3338901	0.5770347	0.5813376
0.1902115	0.3825441	0.1675309	0.0438263	0.6499802	0.1824151	0.2271756	0.3805957	0.7618839	0.6357618
0.1502195	0.0007820	0.0067315	0.1237512	0.6374415	0.5576527	0.6536775	0.4055718	0.8028243	0.6484618
0.1032715	0.2164374	0.0192481	0.0766091	0.6864899	0.4045369	0.4462204	0.4143888	0.7528392	0.6754274
0.0628198	0.2490439	0.2135517	0.0021326	0.5136454	0.2290274	0.1686372	0.3676618	0.7486717	0.5605494
0.2206638	0.5467241	0.1584171	0.0391596	0.6700420	0.6314380	0.5245369	0.5147215	0.7216194	0.6091113
