YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.9703163	0.1205790	0.7950779	0.5693678	0.3000628	0.0794129	0.5846406	0.3071591	0.8754702	1.0440942
0.5930090	0.9441343	0.0987479	0.1064209	0.1653225	0.3503306	0.3074555	0.6232701	0.8028240	0.6697851
0.2839950	1.0170318	0.1222493	0.1151329	0.0443954	0.1201752	0.4284736	0.4994366	0.9253012	0.9530401
0.5396237	0.8510493	0.2058773	0.0742442	0.0009267	0.0008892	0.3264736	0.5827577	0.9112360	0.9089811
0.5750904	0.8179686	0.0342508	0.0024277	0.0112936	0.1640772	0.3084037	0.6094220	0.9423979	1.0424044
0.9583077	0.1448125	0.7074188	0.5828640	0.4688446	0.1965458	0.4027530	0.3901409	0.7929161	1.0610228
1.0026090	0.3037072	0.5935875	0.3382658	0.2515512	0.1743302	0.5992844	0.3916109	0.7698757	0.8779724
0.6183109	0.9404076	0.2298616	0.0578885	0.1301296	0.4023912	0.3959545	0.5811742	0.7178235	0.6171269
0.8401197	0.2521611	0.5972540	0.1095878	0.0982442	0.2251382	0.6892071	0.1605792	0.8615230	0.9805863
0.9266847	0.4516619	0.3719788	0.0912028	0.1249079	0.3473963	0.4720845	0.4178053	0.7231640	0.7772767
