YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.2048376	0.5727464	0.4019471	0.6890586	0.1899925	0.4799572	0.7970843	0.5622286	0.4732972	0.6671463
0.1741222	0.3829141	0.3790898	0.6635433	0.2724919	0.3525177	0.6986748	0.7021885	0.3719247	0.8726959
0.5722136	0.8286068	0.1947922	0.7696425	0.2386716	0.3777829	0.7903847	0.5744429	0.5043827	0.7439667
0.3260999	0.4559168	0.5471126	0.3469784	0.3138906	0.4094270	0.7497643	0.5307536	0.4694895	0.7494952
0.3829890	0.6443292	0.3206066	0.8423206	0.1323022	0.3923508	0.8788903	0.6113056	0.4540624	0.6894725
0.4002514	0.6508008	0.2690793	0.7286575	0.0900057	0.2197082	0.6310841	0.5538721	0.4875513	0.7759708
0.3463369	0.6135716	0.3524834	0.8550195	0.2137523	0.1513458	0.3768900	0.6325146	0.4075643	0.8048754
0.3820986	0.6376191	0.3099144	0.6832190	0.2718174	0.3528235	0.6061956	0.3541421	0.4026141	0.7781050
0.4784697	0.5408099	0.3155976	0.8113175	0.2312164	0.3653150	0.7432480	0.3903608	0.2175131	0.7447249
0.3639297	0.6193618	0.4222946	0.7007702	0.1528712	0.3434527	0.7947996	0.7421558	0.3441312	0.3081155
