"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.8457619	0.7701653	0.9873349	0.0898721	0.8827231	0.8539161	1.0785104	0.0207522	0.2166565	1.0900608
50	0.7868639	0.6302521	0.9756411	0.0742873	0.8266554	0.8284434	0.9201175	0.0270653	0.2563235	1.0428712
100	0.8683334	0.6700154	0.8898965	0.0686256	0.8031878	0.8708259	1.0216104	0.0350972	0.2455483	0.9455013
150	0.8872179	0.6190652	0.8949180	0.0680220	0.8449946	0.9026915	0.9621390	0.0216919	0.2075277	0.9431970
200	0.8233708	0.6188325	0.9379399	0.0882289	0.9451593	0.9732512	0.9484954	0.0297405	0.1382055	0.9439166
250	0.7596573	0.6925460	1.0444702	0.0733692	0.8914202	0.9635333	1.0585165	0.0310168	0.1915092	0.9206257
300	0.8084831	0.7325928	0.9671510	0.0708332	0.9511764	0.9852847	1.0158814	0.0257524	0.2497749	0.8938378
350	0.8932233	0.6657594	0.9669159	0.0883431	0.9782665	0.9667127	1.0797039	0.0267667	0.2583407	1.0873066
400	1.0045874	0.5820225	0.9544839	0.0679960	0.9461094	0.9830614	1.0808166	0.0264858	0.2344479	0.9838679
450	0.9090458	0.6076530	0.9487124	0.0782560	0.9616386	1.0043055	1.0101716	0.0236489	0.2219077	1.0618540
500	0.9473730	0.6132931	0.8601959	0.0795755	0.9498297	0.8724564	0.9505805	0.0189605	0.1917293	1.0927526
550	0.9210007	0.5749242	0.9144939	0.0620536	0.8691750	0.8543157	1.1327770	0.0137601	0.1772486	1.0817167
600	0.8542718	0.5772320	1.0431385	0.0618178	0.9379643	0.8532995	1.0625200	0.0251824	0.1918646	1.0048538
650	0.8380796	0.6294190	1.0600681	0.0688685	0.9338186	0.8432290	1.1002883	0.0215560	0.1977337	1.0597287
700	0.8267802	0.6836488	0.9926373	0.0682858	0.8303433	0.9272950	1.0399148	0.0146906	0.2276378	1.0295525
750	0.9067221	0.6466301	0.9908235	0.0788693	0.8103247	0.9218701	1.1121922	0.0207932	0.1914001	0.9537118
800	0.8349248	0.6274765	0.8869748	0.0748426	0.9232650	0.9018908	0.9591941	0.0276963	0.2450437	0.9630855
850	0.8145216	0.6508415	0.8901941	0.0660850	0.8709988	0.8618224	1.1165734	0.0323590	0.2210671	0.9902948
900	0.7993456	0.6651716	0.8632660	0.0565850	0.8824000	0.7241429	1.0021873	0.0419915	0.2127527	0.9543115
950	0.8263500	0.6296427	0.9473680	0.0630050	0.7755191	0.8601804	0.9646673	0.0351256	0.2312812	1.0159537
1000	0.9061375	0.5868598	0.9530518	0.0392004	0.8118768	0.8859652	0.9571214	0.0184068	0.1640802	1.0885629

