YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.0000000	0.9551991	0.3360505	0.1888372	0.1932330	0.3795215	0.3216818	0.7241069	0.8497909	1.0357777
1.0319155	0.0000000	0.5373465	0.2529009	0.2667217	0.3160579	0.5231079	0.3345733	0.9207923	1.0385933
0.4354969	1.0139288	0.0000000	0.4931411	0.3163951	0.4211027	0.3205377	0.6180982	0.8961978	0.9781866
0.5049307	1.0473144	0.1367052	0.0000000	0.1627006	0.3973553	0.3300410	0.6455043	0.8515443	1.0507393
0.4999172	0.9471131	0.1461262	0.1065114	0.0000000	0.3076427	0.3686062	0.6125670	0.8857521	1.0248590
0.4955727	1.0239249	0.1948523	0.1046586	0.0341933	0.0000000	0.3854551	0.5013958	0.8703523	1.0378804
0.6658904	0.7193909	0.3637655	0.2450910	0.2201416	0.3417655	0.0000000	0.5424455	0.9289288	1.0776831
0.6460969	0.8258693	0.2952013	0.1478147	0.1647690	0.2986909	1.1142031	0.0000000	0.8050087	0.9673574
1.0284742	0.0616660	0.9339879	0.9250809	0.7505761	0.7410591	0.3279584	0.6766528	0.0000000	0.8947243
0.9544795	0.0825700	0.8827051	0.9198584	0.6372709	0.6797465	0.3010581	0.5503181	0.0432764	0.0000000
