YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.5470340	0.5882666	0.1792049	0.5750323	0.2544014	0.6323280	0.7477569	0.9320965	0.3475718	0.3679018
0.5761261	0.3922254	0.0451539	0.9706372	0.1247398	0.5485416	0.7592401	0.9999993	0.5464178	0.4751788
0.2708024	0.5135209	0.0442507	0.7391656	0.4224075	0.7273972	0.5750068	0.2103253	0.0011797	0.1554757
0.0561040	0.3363036	0.0438470	0.9947441	0.2593262	0.5522806	0.8595933	0.9320932	0.3220678	0.1519485
0.5781256	0.3678137	0.0344915	0.7462669	0.1695244	0.4688153	0.8519641	0.6049782	0.0001700	0.0711779
0.0834537	0.3710890	0.0957625	0.6947008	0.3162095	0.5285783	0.7580402	0.9999872	0.2899481	0.2373878
0.2153456	0.3476778	0.0082688	0.9837325	0.1245071	0.9182435	0.1555531	0.0000004	0.0000089	0.3632663
0.1715997	0.4485410	0.0179385	0.8730177	0.0051576	0.9950669	0.1042822	0.0397536	0.0186084	0.0000249
0.1245850	0.4112776	0.0089604	0.9814732	0.1398166	0.6929835	0.2919623	0.1244463	0.0000000	0.0000049
0.0546920	0.3341448	0.0435909	1.0000000	0.2826132	0.7534525	0.5866230	0.4082131	0.0000000	0.0000049
