"Time"	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W

0	0.0501182	1.1862399	1.0784211	0.0351157	0.3288383	0.9449315	0.5447799	0.9769533	0.9906351	0.9926441
50	0.0685314	1.0169434	0.8829979	0.0053432	0.2912649	0.8305655	0.4046025	0.9770447	1.0013576	1.0030683
100	0.0650682	0.9779632	0.7577371	0.0037230	0.3102888	0.8824839	0.2706898	0.9433653	1.0001050	0.9323337
150	0.0706715	0.9468531	0.7971359	0.0067711	0.2758296	0.9897926	0.2346423	0.9708031	1.0119931	0.9811384
200	0.0474198	1.0400987	0.7133853	0.0012403	0.2428799	0.9995933	0.2421933	1.0435773	0.9763649	1.0014661
250	0.0546285	0.9946283	0.7848372	0.0077982	0.2409800	1.0093860	0.2442697	0.9478866	1.0014390	0.9984988
300	0.0327349	1.0232563	0.8543385	0.0036923	0.2361582	0.9572798	0.3142220	1.0480611	0.9265424	0.9777099
350	0.0516759	0.9964263	0.8266197	0.0058810	0.2653515	0.9672919	0.2669798	1.0602508	1.0304025	0.9930243
400	0.0454116	1.0403381	0.7961885	0.0032838	0.2454323	1.0005203	0.2420690	1.0402095	0.9922591	0.9933225
450	0.0338361	1.1028375	0.7862529	0.0036831	0.2302296	0.9522960	0.2621282	0.9637203	0.9950190	0.9865354
500	0.0516579	1.0006895	0.7633211	0.0060663	0.2983130	0.9091214	0.2792544	0.9917427	0.9886862	0.9968267
550	0.0976346	1.0339990	0.9367356	0.0208968	0.2920997	0.8763067	0.4732406	0.9360990	1.0139952	1.1168155
600	0.0783102	1.0111340	0.9498490	0.0226909	0.2557947	0.8689851	0.5720403	1.0024338	1.0110557	1.0418220
650	0.1182004	0.9800725	0.9753025	0.0177274	0.2747229	0.9715841	0.5195972	1.0222895	1.0252309	0.9517223
700	0.1007164	1.0289821	1.0315100	0.0255293	0.2740359	0.9547391	0.5935722	1.0268944	1.0754917	0.9751043
750	0.0793498	1.0296207	0.9800327	0.0200644	0.2650961	0.8920080	0.5205893	1.0158715	1.0667098	0.9708740
800	0.0839539	1.0384869	1.0062960	0.0218481	0.2752063	0.8102578	0.5326409	1.0026303	1.0117169	0.9505566
850	0.0837570	0.9936193	0.9715900	0.0199617	0.2919756	0.8631373	0.5835264	0.9941756	1.0604121	0.9910556
900	0.0559205	1.0713189	1.0726416	0.0159417	0.2635330	0.9125188	0.4908655	0.9759156	0.9997675	0.9697052
950	0.0649777	1.0564569	1.0147631	0.0233041	0.2607593	0.9187136	0.4499608	1.0072064	0.9631555	1.0416091
1000	0.0890611	0.9795776	0.9060110	0.0158461	0.2548324	1.0543302	0.5068324	1.0629199	1.0729061	0.9965193

0	0.0501182	1.1862399	1.0784211	0.0351157	0.3288383	0.9449315	0.5447799	0.9769533	0.9906351	0.9926441
