"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C

0	0.0541411	0.0750268	0.0584811	0.9170316	0.0394795	0.0804815	0.1949582	0.5010249	0.2443697	1.0790095
50	0.0451531	0.0542422	0.1832689	0.9631659	0.0210282	0.0699250	0.1232931	0.8673876	0.2339550	1.0503455
100	0.0381971	0.0592736	0.2041957	0.8915438	0.0234746	0.0792321	0.1141017	0.8781583	0.2558912	1.0290331
150	0.0524944	0.0580106	0.1982862	0.9864902	0.0234169	0.0689854	0.0963321	0.8840784	0.2356024	1.0840435
200	0.0450675	0.0582398	0.1932201	1.0217839	0.0205656	0.0529710	0.0850984	0.9377715	0.2104162	1.0407949
250	0.0279045	0.0687141	0.2215180	1.0492712	0.0452623	0.0613638	0.1027136	0.8285172	0.1975320	0.9369817
300	0.0273847	0.0682239	0.2185373	0.9484424	0.0489513	0.0624862	0.0707784	0.8147073	0.2316650	0.9584490
350	0.0159429	0.0447062	0.2446522	0.9040724	0.0500470	0.0864416	0.1286087	0.8202450	0.2122246	0.9156356
400	0.0294806	0.0544706	0.2271750	0.8400717	0.0318104	0.0852401	0.0839356	0.8650366	0.2009799	0.9572692
450	0.0256188	0.0411872	0.2164123	0.9562565	0.0261240	0.0515770	0.1444461	0.9185771	0.2209969	1.0279215
500	0.0315253	0.0665995	0.2418156	0.8661505	0.0225478	0.0467728	0.1112902	0.9743969	0.2116640	1.0160714
550	0.0226432	0.0904540	0.1052287	0.9233700	0.0310990	0.0783638	0.1493486	0.7770956	0.2739252	0.9812346
600	0.0397198	0.0332314	0.0555789	0.9927077	0.0373742	0.0555302	0.1316904	0.6749642	0.2210990	1.0075686
650	0.0374416	0.0419304	0.0541522	0.8524603	0.0372037	0.0756751	0.1649371	0.5637851	0.2445976	0.9608967
700	0.0432559	0.0537777	0.0708459	0.9616374	0.0345487	0.0606543	0.1508384	0.5659602	0.2478601	0.9871055
