YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0036350	0.4726953	0.3670992	0.9807858	0.5540197	0.9146222	0.9346190	0.7311291	0.2307311	0.9331516
0.0589113	0.2015035	0.5900911	0.7205676	0.4997708	0.9703382	1.0074867	0.4392181	0.2102756	0.9956591
0.2038572	0.4695518	0.3784357	1.0464901	0.5398665	1.1061376	1.0186746	0.9499602	0.4215438	0.5320295
0.0782384	0.2860699	0.5041570	0.8401621	0.4574092	0.9741840	1.0002766	0.4139295	0.1419093	0.9119770
0.1192246	0.5126631	0.4757747	0.8841346	0.7325352	1.0589948	0.9115288	0.5499529	0.2076431	0.8840294
0.0052646	0.4897647	0.4067704	0.8244893	0.4866175	0.8719849	0.5813724	0.1815204	0.1055958	0.9422382
0.0885143	0.3615095	0.5524470	0.9786660	0.5138836	1.0171431	0.9806571	0.7036548	0.2622239	0.7670251
0.2297632	0.5033300	0.3879945	0.9708712	0.4656262	1.0493097	1.0311146	0.7985663	0.2139717	0.6810946
0.1738422	0.5004420	0.3316871	0.9583795	0.6441333	1.1120758	1.0584327	0.7531424	0.3340407	0.5210998
0.2433320	0.2777136	0.5476770	0.8923697	0.6092418	0.9054532	0.9624029	0.3471005	0.2259303	1.0509375
