YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4335099	0.9989292	0.8062847	0.3148892	0.3346296	0.4634786	0.3692170	0.4859624	0.2738105	1.0000000
0.6339256	0.9885819	0.3471013	0.0962869	0.6344957	0.6981992	0.5121135	0.9160574	0.4751597	0.7783488
0.0833173	0.9998263	0.7518703	0.1948165	0.4402727	0.7317661	0.5033424	0.9419518	0.4997350	0.7397146
0.0158850	0.9998144	0.7799601	0.2849659	0.3555024	0.6250061	0.5194119	0.8952104	0.6080820	1.0000000
0.5666882	0.9987683	0.7026335	0.2017838	0.3747639	0.6483115	0.5474061	0.8185374	0.4364110	0.5132035
0.5815357	0.9934944	0.3769889	0.0532224	0.7016996	0.5788546	0.4697574	0.7754732	0.5405322	1.0000000
0.3973991	0.9985713	0.6381199	0.1400830	0.5235971	0.7054626	0.5416055	0.7731677	0.6479692	1.0000000
0.4085704	0.9696181	0.2804236	0.0533606	0.6555815	0.6243087	0.5186370	0.8973760	0.5300195	1.0000000
0.0926472	0.9989233	0.8007405	0.2389526	0.3934845	0.6676593	0.5077377	0.9289338	0.5450348	0.7672892
0.1674421	0.9979968	0.5493389	0.1361440	0.4666703	0.6262369	0.5208139	0.8911912	0.4183555	0.5909157
