"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.8686490	0.9951687	0.9714724	0.9998165	0.0604232	0.1441784	0.8908098	0.3386098	0.9999427	1.0000000
50	0.8645967	0.9966972	0.9705912	0.9998350	0.0494657	0.1070835	0.9046717	0.2003554	0.9999493	1.0000000
100	0.8458389	0.9980856	0.9697762	0.9998760	0.0317854	0.0661895	0.9488516	0.0938415	0.9999696	1.0000000
150	0.8258545	0.9986926	0.9694133	0.9999252	0.0187331	0.0427943	0.9797717	0.0544168	0.9999857	1.0000000
200	0.8135420	0.9989112	0.9692809	0.9999609	0.0120733	0.0312476	0.9926095	0.0422970	0.9999940	1.0000000
250	0.8076094	0.9989829	0.9692373	0.9999812	0.0092552	0.0259311	0.9969203	0.0389311	0.9999976	1.0000000
300	0.8050980	0.9990051	0.9692241	0.9999914	0.0081630	0.0235949	0.9982329	0.0380787	0.9999991	1.0000000
350	0.8041158	0.9990118	0.9692204	0.9999962	0.0077530	0.0226044	0.9986117	0.0378887	0.9999996	1.0000000
400	0.8037520	0.9990137	0.9692195	0.9999983	0.0075992	0.0221961	0.9987167	0.0378562	0.9999999	1.0000000
450	0.8036229	0.9990143	0.9692194	0.9999992	0.0075409	0.0220315	0.9987446	0.0378552	0.9999999	1.0000000
500	0.8035785	0.9990145	0.9692194	0.9999996	0.0075185	0.0219663	0.9987516	0.0378578	1.0000000	1.0000000
550	0.8060297	0.9974721	0.9701053	0.9999997	0.0160254	0.0585079	0.9948337	0.1802475	1.0000000	1.0000000
600	0.8216335	0.9960791	0.9709227	0.9999987	0.0262801	0.0983825	0.9666795	0.2894589	0.9999990	1.0000000
650	0.8419286	0.9954779	0.9712877	0.9999942	0.0367304	0.1209462	0.9294774	0.3283821	0.9999937	1.0000000
700	0.8562844	0.9952658	0.9714223	0.9999821	0.0457259	0.1325587	0.9054308	0.3385568	0.9999835	1.0000000
750	0.8638081	0.9951982	0.9714673	0.9999603	0.0520504	0.1385492	0.8948107	0.3400323	0.9999717	1.0000000
800	0.8670522	0.9951780	0.9714810	0.9999324	0.0559611	0.1415967	0.8913069	0.3396091	0.9999615	1.0000000
850	0.8682366	0.9951722	0.9714843	0.9999043	0.0581831	0.1430717	0.8905304	0.3391025	0.9999541	1.0000000
900	0.8685937	0.9951706	0.9714843	0.9998807	0.0593598	0.1437369	0.8905301	0.3388095	0.9999494	1.0000000
950	0.8686707	0.9951702	0.9714834	0.9998633	0.0599421	0.1440140	0.8906510	0.3386780	0.9999466	1.0000000
1000	0.8686723	0.9951701	0.9714825	0.9998518	0.0602112	0.1441200	0.8907377	0.3386287	0.9999452	1.0000000

0	0.8686490	0.9951687	0.9714724	0.9998165	0.0604232	0.1441784	0.8908098	0.3386098	0.9999427	1.0000000
50	0.7491764	0.9959599	0.9714751	0.9986980	0.2734093	0.1441070	0.9060466	0.1848749	0.9999434	1.0000000
100	0.6160310	0.9966793	0.9713312	0.9772310	0.4291507	0.1430892	0.9529441	0.0664235	0.9999439	1.0000000
150	0.5410960	0.9969925	0.9703306	0.9243455	0.4829215	0.1408921	0.9836315	0.0223893	0.9999454	1.0000000
200	0.5074849	0.9970953	0.9679299	0.8684869	0.4980601	0.1387306	0.9952418	0.0086032	0.9999482	1.0000000
250	0.4941782	0.9971073	0.9646165	0.8284549	0.5017053	0.1372683	0.9987305	0.0045890	0.9999514	1.0000000
300	0.4892804	0.9970808	0.9613573	0.8051431	0.5023578	0.1364626	0.9996723	0.0034646	0.9999542	1.0000000
350	0.4875560	0.9970419	0.9588141	0.7931954	0.5023579	0.1360706	0.9999136	0.0031575	0.9999561	1.0000000
400	0.4869656	0.9970048	0.9571354	0.7875866	0.5022747	0.1358946	0.9999739	0.0030752	0.9999572	1.0000000
450	0.4867670	0.9969760	0.9561571	0.7851223	0.5022156	0.1358197	0.9999888	0.0030535	0.9999579	1.0000000
500	0.4867010	0.9969565	0.9556388	0.7840968	0.5021841	0.1357890	0.9999925	0.0030479	0.9999582	1.0000000
550	0.6039805	0.9960908	0.9554945	0.8018485	0.2881478	0.1357832	0.9964239	0.1866884	0.9999584	1.0000000
600	0.7346062	0.9953124	0.9571259	0.8688868	0.1316137	0.1360840	0.9629403	0.3132969	0.9999584	1.0000000
650	0.8116265	0.9950024	0.9609811	0.9296653	0.0775040	0.1374621	0.9197348	0.3460210	0.9999580	1.0000000
700	0.8479666	0.9949484	0.9649893	0.9660158	0.0624099	0.1397255	0.8959879	0.3476130	0.9999565	1.0000000
750	0.8624558	0.9949915	0.9679014	0.9845029	0.0592053	0.1418470	0.8886601	0.3438188	0.9999538	1.0000000
800	0.8673364	0.9950519	0.9696551	0.9931562	0.0591645	0.1432268	0.8881276	0.3409437	0.9999506	1.0000000
850	0.8686393	0.9951005	0.9705998	0.9970074	0.0596852	0.1439056	0.8891383	0.3394857	0.9999478	1.0000000
900	0.8688365	0.9951322	0.9710729	0.9986636	0.0600924	0.1441594	0.8900030	0.3388831	0.9999458	1.0000000
950	0.8687827	0.9951506	0.9712979	0.9993582	0.0603061	0.1442203	0.8904810	0.3386735	0.9999447	1.0000000
1000	0.8687156	0.9951605	0.9714008	0.9996439	0.0603911	0.1442159	0.8906946	0.3386146	0.9999441	1.0000000

0	0.8686490	0.9951687	0.9714724	0.9998165	0.0604232	0.1441784	0.8908098	0.3386098	0.9999427	1.0000000
50	0.8666996	0.9951694	0.9714771	0.9998284	0.0604077	0.1441113	0.9050627	0.1971420	0.6915634	1.0000000
100	0.8655846	0.9951697	0.9714791	0.9998333	0.0603092	0.1431526	0.9493642	0.0993147	0.3832414	1.0000000
150	0.8811946	0.9951699	0.9714799	0.9998360	0.0598122	0.1410604	0.9788567	0.0790523	0.2283294	1.0000000
200	0.9067174	0.9951699	0.9714803	0.9998395	0.0588861	0.1389829	0.9898267	0.0834096	0.1620873	1.0000000
250	0.9291094	0.9951699	0.9714806	0.9998450	0.0578876	0.1375803	0.9924200	0.0890329	0.1355050	1.0000000
300	0.9437764	0.9951699	0.9714809	0.9998520	0.0571112	0.1368296	0.9924951	0.0918454	0.1251459	1.0000000
350	0.9519045	0.9951700	0.9714812	0.9998588	0.0566256	0.1364902	0.9921790	0.0928130	0.1211670	1.0000000
400	0.9559574	0.9951700	0.9714816	0.9998642	0.0563669	0.1363570	0.9919729	0.0930244	0.1196500	1.0000000
450	0.9578391	0.9951700	0.9714819	0.9998681	0.0562456	0.1363111	0.9918900	0.0930116	0.1190738	1.0000000
500	0.9586696	0.9951700	0.9714821	0.9998706	0.0561947	0.1362971	0.9918689	0.0929628	0.1188554	1.0000000
550	0.9518444	0.9951700	0.9714823	0.9998720	0.0561760	0.1363335	0.9764417	0.3399959	0.4271569	1.0000000
600	0.9320498	0.9951700	0.9714824	0.9998727	0.0562456	0.1373530	0.9032741	0.4355271	0.7354519	1.0000000
650	0.9141478	0.9951700	0.9714824	0.9998725	0.0568280	0.1405797	0.8552576	0.4056808	0.8903531	1.0000000
700	0.8985619	0.9951700	0.9714825	0.9998699	0.0582290	0.1441933	0.8538878	0.3702642	0.9565884	1.0000000
750	0.8861545	0.9951700	0.9714823	0.9998630	0.0598727	0.1460891	0.8678746	0.3508425	0.9831648	1.0000000
800	0.8778001	0.9951700	0.9714821	0.9998527	0.0609817	0.1463035	0.8796392	0.3425697	0.9935196	1.0000000
850	0.8729786	0.9951700	0.9714816	0.9998424	0.0613617	0.1457681	0.8862024	0.3396074	0.9974965	1.0000000
900	0.8705237	0.9951700	0.9714811	0.9998350	0.0612702	0.1451499	0.8891737	0.3387330	0.9990132	1.0000000
950	0.8693966	0.9951700	0.9714807	0.9998315	0.0610145	0.1446968	0.8903241	0.3385509	0.9995900	1.0000000
1000	0.8689238	0.9951700	0.9714804	0.9998309	0.0607724	0.1444268	0.8907043	0.3385508	0.9998092	1.0000000

0	0.8686490	0.9951687	0.9714724	0.9998165	0.0604232	0.1441784	0.8908098	0.3386098	0.9999427	1.0000000
50	0.9144040	0.9962062	0.9714752	0.9987357	0.2704695	0.1472450	0.6536740	0.2956556	0.7917982	1.0000000
100	0.9593562	0.9971496	0.9713364	0.9779811	0.4256378	0.1689092	0.5009165	0.2857881	0.5836882	1.0000000
150	0.9813091	0.9975617	0.9703655	0.9258125	0.4853932	0.2055271	0.4522361	0.3133547	0.4791032	1.0000000
200	0.9904830	0.9977028	0.9679833	0.8672641	0.5126561	0.2390106	0.4337024	0.3450184	0.4343165	1.0000000
250	0.9941478	0.9977321	0.9645026	0.8191279	0.5303489	0.2626733	0.4227682	0.3667908	0.4162355	1.0000000
