"Time"	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C

0	0.1733569	0.0703768	0.1038545	0.1977470	0.2493997	0.6262670	0.0681266	0.0093900	0.9820356	1.0000000
50	0.1729550	0.0948331	0.1018486	0.1898399	0.4731468	0.6262669	0.0681266	0.0094103	0.9821473	1.0000000
100	0.1659605	0.1172664	0.0805018	0.1616436	0.7090889	0.6262668	0.0681266	0.0095247	0.9840826	1.0000000
150	0.1487753	0.1271778	0.0523205	0.1352341	0.8351757	0.6262668	0.0681266	0.0096888	0.9882459	1.0000000
200	0.1288715	0.1307871	0.0363223	0.1188069	0.8926412	0.6262668	0.0681266	0.0097739	0.9923484	1.0000000
250	0.1129359	0.1319915	0.0298309	0.1102030	0.9172510	0.6262668	0.0681266	0.0097556	0.9951754	1.0000000
300	0.1025864	0.1323744	0.0274458	0.1060789	0.9274946	0.6262668	0.0681266	0.0096840	0.9967972	1.0000000
350	0.0966852	0.1324924	0.0265604	0.1042015	0.9316997	0.6262668	0.0681266	0.0096069	0.9976371	1.0000000
400	0.0935992	0.1325280	0.0262164	0.1033742	0.9334139	0.6262668	0.0681266	0.0095466	0.9980463	1.0000000
450	0.0920800	0.1325385	0.0260773	0.1030174	0.9341102	0.6262668	0.0681266	0.0095064	0.9982380	1.0000000
500	0.0913642	0.1325416	0.0260198	0.1028659	0.9343925	0.6262668	0.0681266	0.0094824	0.9983255	1.0000000
550	0.0910826	0.1080809	0.0260127	0.1038610	0.7107567	0.6262668	0.0681266	0.0094089	0.9983620	1.0000000
600	0.0921017	0.0856171	0.0263950	0.1116476	0.4748596	0.6262668	0.0681266	0.0091404	0.9983049	1.0000000
650	0.0971403	0.0756295	0.0282877	0.1280191	0.3487909	0.6262668	0.0681266	0.0088570	0.9979262	1.0000000
700	0.1078166	0.0719543	0.0337244	0.1484936	0.2913328	0.6262668	0.0681266	0.0086782	0.9968747	1.0000000
750	0.1226092	0.0707166	0.0446475	0.1670492	0.2667260	0.6262668	0.0681266	0.0086111	0.9948967	1.0000000
800	0.1379923	0.0703246	0.0599539	0.1804741	0.2564835	0.6262668	0.0681266	0.0086357	0.9921546	1.0000000
850	0.1509522	0.0702169	0.0754215	0.1887658	0.2522789	0.6262668	0.0681266	0.0087281	0.9892181	1.0000000
