YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0000000	0.5675440	0.4166214	0.0551975	0.1238476	0.3098780	0.9892301	1.0915866	0.0020536	0.9965491
0.1061615	0.0000000	0.4877427	0.0530070	0.0763734	0.3241501	0.9798273	0.9506653	0.0015638	0.9836745
0.3053463	0.6282553	0.0000000	0.0516417	0.0734287	0.3356587	0.9812684	1.0341373	0.0028668	1.1126799
0.1826338	0.5838154	0.4741875	0.0000000	0.0897541	0.4083150	1.0431206	1.0190586	0.0007896	0.9975336
0.2242074	0.6422983	0.4011155	0.0387710	0.0000000	0.3329278	1.0537485	0.9607780	0.0007451	0.9910422
0.2251993	0.5506478	0.4862796	0.0391456	0.0964497	0.0000000	0.9969530	1.0248489	0.0004005	0.9290071
0.2562893	0.6157825	0.4259888	0.0508798	0.0936693	1.0185767	0.0000000	0.9661134	0.0012431	1.0137159
0.0794002	0.0226035	0.0472588	0.0616620	0.1071054	0.3911587	0.9731227	0.0000000	0.0002429	0.9159356
0.2476570	0.6109045	0.4696686	0.0524791	0.1010957	0.3812505	1.0525308	1.0028551	0.0000000	1.0092205
0.2857137	0.6888968	0.4175865	0.0526765	0.1155673	0.3753608	0.9300558	1.0359323	1.0574339	0.0000000
