YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.5625219	0.3957746	0.5240785	0.4678797	0.3600302	0.0800446	0.6617824	0.2641276	0.7600317
0.6132995	0.0000000	0.3153202	0.6823726	0.4466585	0.3095564	0.0682449	0.7891385	0.2436223	0.6732864
0.5338315	0.6891581	0.0000000	0.6247218	0.7824322	0.0807639	0.0571621	0.6065134	0.2299909	0.6897362
0.5322156	0.5245268	0.3426206	0.0000000	0.5702431	0.4947426	0.3224881	0.4041690	0.3388302	0.8215620
0.5084114	0.6864389	0.0334032	0.0106160	0.0000000	0.3484915	0.2266156	0.3777013	0.3145670	0.9160339
0.5767319	0.9160898	0.1609591	0.4692846	0.3861211	0.0000000	0.0964576	0.7814340	0.3486428	0.6555280
0.5354736	0.6829591	0.2980844	0.5624210	0.4069719	0.1410053	0.0000000	0.7022467	0.2730997	0.7696950
0.3336388	0.4827906	0.4016797	0.6223286	0.3906130	0.5923977	0.7080542	0.0000000	0.4000935	0.6593600
0.5475552	0.3769285	0.4039445	0.7422454	0.4631455	0.5901913	0.2648390	0.5059183	0.0000000	0.6624192
0.4756560	0.4310727	0.3338559	0.6907233	0.5950803	0.5612435	0.1583969	0.4704802	0.0751492	0.0000000
