YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.2799084	0.0297558	0.3383308	0.1073507	0.2373578	0.5717074	0.1022192	0.0000013	0.7801240	1.0000000
0.0828439	0.3539341	0.5522396	0.1286996	0.5483746	0.9999995	0.4463871	0.0303359	0.8181392	1.0000000
0.1371175	0.0000874	0.0806097	0.1903354	0.1263281	0.4225900	0.0000000	0.0347768	0.6409843	1.0000000
0.1198133	0.3124473	0.0480119	0.1710011	0.2522770	0.5729362	0.6138757	0.1540121	0.9894442	1.0000000
0.0396799	0.1971631	0.0004970	0.0750581	0.3495168	0.1053533	0.0000000	0.0115840	0.9995014	1.0000000
0.5744300	0.2772090	0.3924748	0.2257155	0.2004887	0.5720093	0.4223376	0.0143866	0.9709410	1.0000000
0.1694437	0.0108505	0.2736306	0.1825680	0.1165769	0.4096311	0.0000000	0.0249463	0.8356055	0.9569988
0.0263647	0.1757499	0.3938618	0.0560695	0.4870375	0.0000032	0.0000000	0.0047693	0.9998313	1.0000000
0.5949456	0.2534522	0.0462152	0.1769221	0.3014540	0.6931123	0.0953911	0.4761318	0.5556550	0.9848683
0.1361993	0.0000835	0.0795137	0.1004597	0.3073641	0.5720117	0.3202505	0.0108626	0.9285092	1.0000000
