YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.2006738	0.4866496	0.3115498	0.0423734	0.2035235	0.7211981	0.8307352	0.0022059	0.4147639	0.5924169
0.6575168	0.4218818	0.2710692	0.1106836	0.1379959	0.8029801	0.5859454	0.0857198	0.1584877	0.6497074
0.4128395	0.5031310	0.4195863	0.0681638	0.2006384	0.7096893	0.6987143	0.0483923	0.1965089	0.6061368
0.2921855	0.6756264	0.3056679	0.1637481	0.2090820	0.8426546	0.6595384	0.0370917	0.2806992	0.8071499
0.0042554	0.0866631	0.5713490	0.4338820	0.5028336	0.1807590	0.0644821	0.4962143	0.1002286	0.5537788
0.2963169	0.0534383	0.7319480	0.4767418	0.7715003	0.1131860	0.0109914	0.5758056	0.0349665	0.6863465
0.0000028	0.0042479	0.7383600	0.3400042	0.4248510	0.1844137	0.0406936	0.6665380	0.1309328	0.6944700
0.2968697	0.0000219	0.7565454	0.3441767	0.5713874	0.1536046	0.0293169	0.6137107	0.1755856	0.7185961
0.5404414	0.3871809	0.4866202	0.1169534	0.1543760	0.6474524	0.3092480	0.1801790	0.1665218	0.6431814
0.3849907	0.1380694	0.4778755	0.2340419	0.1612955	0.5136630	0.2335381	0.2289267	0.0716495	0.7393796
