"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C

0	1.0242965	0.9952179	0.7677522	0.0994600	0.1177725	0.9732265	0.9553249	0.6647664	0.5478818	1.0224264
50	1.0381041	1.0617119	0.8097889	0.2843198	0.0751216	0.9052534	0.9310032	0.4553889	0.5136497	1.0331043
100	0.9912160	1.0768365	0.6753475	0.3307685	0.0920417	0.9699087	0.9372089	0.4536197	0.5075678	1.0284487
150	1.0229052	0.9186244	0.5032089	0.3361170	0.1027889	0.9028276	0.8115594	0.4430399	0.4992861	0.9960120
200	1.0434617	0.9182863	0.4099802	0.3427034	0.1081376	1.0062965	0.9195015	0.3898576	0.5656394	1.1237951
250	0.9409775	0.7509574	0.3660567	0.3603940	0.0966160	0.9283164	0.9526525	0.4012223	0.5335609	1.0245602
300	1.0020335	0.4957142	0.3055021	0.4126111	0.0707104	1.0033820	0.9401824	0.3377406	0.6741765	1.0424487
350	1.0542736	0.2814674	0.2418916	0.3636259	0.0801110	1.0802048	0.8680841	0.3540876	0.7483401	1.0148292
400	0.8814548	0.1588241	0.2971177	0.2939349	0.0604669	1.0197250	0.9267819	0.3295861	0.8207158	0.9611357
450	0.7029741	0.1071466	0.3095266	0.3364464	0.0687489	1.0714733	0.8956316	0.2810276	0.9129293	0.9763948
500	0.5142200	0.0796978	0.3118007	0.3544432	0.0814397	0.9657383	0.9355217	0.2103534	0.8866309	1.0714798
550	0.3184717	0.1260500	0.3241744	0.1941659	0.1341116	0.9103112	0.8857186	0.2970542	0.9176287	1.0223407
600	0.1887628	0.1194652	0.4441817	0.1347455	0.1304297	0.9909198	0.9485504	0.3492652	0.8894025	1.0214222
650	0.3116444	0.2804518	0.6538430	0.1426418	0.1474063	1.0288298	0.8699324	0.3363726	0.8271602	0.9821371
700	0.6044149	0.5781892	0.7135871	0.1594166	0.1272032	0.9777792	0.9193368	0.3352662	0.7747739	1.0517015
750	0.8571341	0.8208076	0.7642639	0.1361618	0.1669389	0.9714905	0.9511353	0.3671030	0.7805870	1.0286022
800	0.9603282	0.8788334	0.8162739	0.1486394	0.1353196	0.9846541	0.9140682	0.4409053	0.6515852	1.0188363
850	0.9975603	0.8782945	0.9337911	0.1658816	0.1655378	0.9999552	0.8980685	0.5310043	0.5813484	1.1308763
900	0.9231576	1.0061155	0.8118799	0.1759208	0.1659117	1.0573942	0.9107494	0.4911101	0.6072394	1.1011471
950	0.9897215	0.9987221	0.8207370	0.1673651	0.1491036	1.0001082	0.9294043	0.6724297	0.5807884	1.0536820
1000	1.0701909	0.9446288	0.8411116	0.1656199	0.1143243	0.8562530	0.9694370	0.7746395	0.5424778	0.9154544

0	1.0242965	0.9952179	0.7677522	0.0994600	0.1177725	0.9732265	0.9553249	0.6647664	0.5478818	1.0224264
50	0.9241057	0.9698540	0.6791706	0.5375827	0.2080709	1.0604804	0.9030770	0.3762951	0.5356688	1.0682992
100	1.0147175	0.8826663	0.3567921	0.6811047	0.1508244	1.0539237	0.9806351	0.3033819	0.5923372	1.0718947
150	1.0020261	0.7722051	0.1813818	0.7460923	0.1706621	1.0162106	0.8598447	0.2454986	0.5382902	1.1288431
200	1.0255670	0.5318534	0.1114008	0.7512210	0.1310404	1.0108040	0.7215765	0.1730900	0.6016948	0.9947665
250	1.0113098	0.3553008	0.0696857	0.7186404	0.1194190	1.0124209	0.6709489	0.2371067	0.7322256	0.9656716
300	0.9672479	0.2866273	0.0735555	0.8009573	0.1390911	1.1483144	0.6623696	0.1731640	0.8007320	0.9455040
350	0.8648553	0.3008969	0.0708100	0.6819465	0.1131696	1.0299779	0.6278159	0.1769354	0.8288467	0.9925507
400	0.8273801	0.2767359	0.0964691	0.7485304	0.1066327	1.0232875	0.6392549	0.1584990	0.8832972	1.0547332
450	0.7787992	0.2871011	0.0919008	0.6946026	0.1465057	0.9399950	0.6488843	0.1277090	0.8877212	1.0357803
500	0.7286272	0.2730443	0.0960173	0.6819893	0.1290380	0.9102748	0.6684061	0.1059808	0.8371830	0.9434321
550	0.7308527	0.1309824	0.1161465	0.3171277	0.1303339	0.9789846	0.6572520	0.3030389	0.8124707	0.9677915
600	0.5316183	0.0663055	0.1587207	0.2326436	0.1596962	1.0182849	0.7900638	0.3515544	0.8484350	0.9828657
650	0.3144583	0.0570760	0.2448592	0.2149158	0.1431142	0.9942488	0.9417282	0.3996483	0.8663646	0.9927276
700	0.1459809	0.0523979	0.3326584	0.1660568	0.1279544	0.9776150	0.9911606	0.3288455	0.8233687	0.9892575
750	0.1190557	0.1454900	0.4984178	0.1499022	0.1163171	1.0011718	0.9892007	0.3306797	0.8469007	1.0207581
800	0.2221006	0.3581983	0.6514077	0.1716482	0.1331732	1.0070857	0.9403498	0.3622265	0.7902856	1.0333057
850	0.5993118	0.6472325	0.7474763	0.1068954	0.1082597	1.0438211	0.8616992	0.3542097	0.7889223	1.0176780
900	0.8846698	0.7633477	0.7428332	0.1289062	0.1250186	1.0156678	0.8264174	0.4028376	0.7295595	1.0115782
950	1.0123678	0.8281675	0.7922704	0.1385929	0.1147177	0.9246274	0.8445448	0.4522022	0.5972504	1.0519335
1000	1.0955729	0.9432739	0.8645515	0.1789061	0.1254635	1.0311410	0.8703968	0.4990107	0.6030167	1.0732979

0	1.0242965	0.9952179	0.7677522	0.0994600	0.1177725	0.9732265	0.9553249	0.6647664	0.5478818	1.0224264
50	0.9969533	1.0327714	0.4346981	0.4623989	0.1002295	1.0133808	0.9910139	0.6986522	0.5639808	1.0285717
100	0.9498884	0.8363820	0.1972621	0.5472635	0.0870376	0.9931393	0.8614839	0.6055300	0.4915228	0.8915645
150	0.9662214	0.4299281	0.0997934	0.5970696	0.0549059	1.0175048	0.8537140	0.7442395	0.5417938	0.9544616
200	0.8591715	0.2076823	0.0512330	0.5799435	0.0629239	0.9618035	0.8734850	0.7030702	0.6804883	0.9158319
250	0.8925974	0.1159522	0.0407801	0.5731077	0.0542250	1.0389092	0.8232707	0.5827700	0.7374756	0.8727219
300	0.6443206	0.0972222	0.0372178	0.6114644	0.0502473	0.9740960	0.7617879	0.5321620	0.7902083	0.8379697
350	0.4626137	0.0921950	0.0481213	0.6476534	0.0556724	1.0931070	0.7906748	0.5133474	0.8573512	0.8774229
400	0.3438820	0.0859359	0.0308712	0.6574575	0.0687947	0.9977678	0.7118215	0.4437997	0.8552420	0.9986100
450	0.3071420	0.0557206	0.0280479	0.6859333	0.0624916	0.9710090	0.6956106	0.4518177	0.9358079	0.9460754
500	0.2560205	0.0444056	0.0355427	0.6985045	0.0879659	0.9085740	0.6879668	0.3748486	0.8907728	0.9858733
550	0.1288383	0.0540483	0.1200011	0.3302808	0.1765936	0.9755338	0.8150812	0.3834648	0.8301859	0.9747238
600	0.0817822	0.0577852	0.2235637	0.1876258	0.1289256	1.0138926	0.8474699	0.4166129	0.7245955	1.0164292
650	0.0686679	0.0521876	0.3015827	0.1376624	0.1389070	1.0225454	0.7646176	0.3967043	0.8247811	0.9245375
700	0.0610709	0.0850096	0.5523922	0.1389424	0.1373294	1.0616249	0.8971447	0.3980737	0.8319557	0.9213000
750	0.1370989	0.3254166	0.7265817	0.1741354	0.1232640	1.0884997	0.8841384	0.3451272	0.8787861	1.0259653
800	0.5207197	0.6383216	0.6696510	0.1639720	0.0994972	1.0528139	1.0118223	0.3720836	0.8576496	1.0162577
850	0.7692113	0.7673590	0.7526919	0.1099642	0.1016236	1.0303757	0.9477778	0.4594872	0.7119461	1.0376860
900	0.8768080	0.9012332	0.7582829	0.1032842	0.0975493	1.0072781	0.8736008	0.4593313	0.6851926	1.0304800
950	0.9408611	0.9709033	0.7634498	0.0966532	0.1042534	0.9824533	0.9186852	0.5037485	0.6167580	0.9931673
1000	0.9948884	0.9218639	0.7853672	0.1352424	0.1476358	0.9908068	0.9798003	0.4810891	0.5177545	0.9329180

0	1.0242965	0.9952179	0.7677522	0.0994600	0.1177725	0.9732265	0.9553249	0.6647664	0.5478818	1.0224264
50	0.9735068	0.9187596	0.2989967	0.1502983	0.1213340	1.0272282	0.8832606	0.5891217	0.6052273	1.0354282
100	0.9935611	0.6942245	0.1426636	0.1138285	0.1159871	1.0684180	0.8984503	0.5955578	0.5608984	0.9865224
150	0.9442841	0.3017361	0.1036741	0.1306908	0.0833105	1.0183273	0.8972863	0.6027065	0.6487987	1.0364539
200	0.8797968	0.1429050	0.0872826	0.1253660	0.0720988	1.0003564	0.9796418	0.5546656	0.7542308	1.0238117
250	0.6719304	0.0937052	0.1081729	0.1144858	0.0662243	0.9622041	0.9822650	0.4587137	0.7806481	1.0337791
300	0.3664064	0.0568838	0.1163040	0.0931061	0.0565451	1.0143321	0.9558696	0.4913458	0.8065977	1.0517246
350	0.2268705	0.0640785	0.1152482	0.1072555	0.0843424	0.8960888	0.9697407	0.3812009	0.7761575	0.9467717
400	0.1507038	0.0401557	0.1069017	0.1029032	0.0642125	0.9737555	0.9864373	0.3166462	0.8564081	0.9802832
450	0.0783718	0.0627520	0.0943251	0.1003709	0.0825938	1.1049218	1.0121306	0.4087548	0.8101949	1.0180638
500	0.0566012	0.0687213	0.0973928	0.0926618	0.1104075	1.0081377	0.9481885	0.4188848	0.8448614	1.0089400
550	0.0756689	0.0675669	0.6958853	0.1276709	0.1033821	1.0631946	0.9381006	0.3776221	0.7766290	1.0718083
600	0.1389675	0.4462877	0.8062438	0.1287077	0.1231326	1.0669669	0.9512818	0.4025843	0.8698615	1.0603379
650	0.5209032	0.7733811	0.8164692	0.1605314	0.1270768	1.0103531	0.9826660	0.3906644	0.8714563	0.9792883
700	0.8356570	0.8306210	0.8624572	0.1564841	0.1494691	0.9588236	0.8893868	0.4045641	0.7404496	1.1077962
750	0.8220573	0.9401724	0.8246188	0.1701101	0.1835395	0.9694926	0.9611906	0.3942447	0.7026540	1.1021646
800	0.8847266	0.9358142	0.8129410	0.1617087	0.1906041	0.9383194	1.0067011	0.5169551	0.6109141	0.9958765
850	1.0131288	0.9682869	0.6725176	0.1603981	0.1474528	0.9994426	0.8450138	0.5313274	0.5430019	1.0032389
900	1.0008737	0.9143807	0.5799865	0.1471047	0.1805421	1.0870307	0.9896770	0.5939455	0.4870594	0.9941404
950	0.9970362	0.8694569	0.6077421	0.1507717	0.1346454	1.0340157	1.0534216	0.6740963	0.5026328	1.0984564
1000	0.9769863	0.8576504	0.7550832	0.1406144	0.1399765	1.0035994	1.0163503	0.6702976	0.4724844	1.0241052

0	1.0242965	0.9952179	0.7677522	0.0994600	0.1177725	0.9732265	0.9553249	0.6647664	0.5478818	1.0224264
50	1.0389583	0.8928463	0.5204080	0.1495635	0.0632822	1.0194907	0.9349401	0.7365056	0.4758531	1.0356880
100	1.0425252	0.9487273	0.4530244	0.1555699	0.0395390	0.9728577	0.9605462	0.6571856	0.4918446	0.9379022
150	1.0234302	0.6692118	0.4312326	0.1113664	0.0437713	1.0015785	0.9111772	0.6961060	0.4851033	0.9818092
200	0.9743587	0.5681398	0.3434009	0.1168455	0.0496113	1.0111918	0.8854795	0.7207406	0.6127634	0.9810626
250	0.9653079	0.4103228	0.4142014	0.1038987	0.0605062	0.9466145	0.8736245	0.6294063	0.6500598	1.0042280
300	0.9495101	0.3649378	0.3827370	0.1024112	0.0421598	1.0448576	1.0112081	0.4891383	0.7294219	1.0216596
350	0.9626110	0.4171011	0.4166123	0.0910652	0.0468692	0.9511118	0.9820284	0.4949455	0.7831698	1.0041323
400	0.8818583	0.3983394	0.4355697	0.0850661	0.0526165	0.8889336	0.9919948	0.4336681	0.7427349	1.0573947
