"Time"	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W

0	0.4478290	0.3858877	0.8193008	0.6994342	0.9999670	0.1498417	0.9726111	0.9967351	1.0000000	0.0897622
50	0.4478934	0.3858781	0.8193025	0.6994350	0.9999719	0.1156740	0.9726092	0.9960240	0.7937049	0.0897619
100	0.4479215	0.3858740	0.8193034	0.6994364	0.9999817	0.1080145	0.9725801	0.9929989	0.7018247	0.0897615
150	0.4479261	0.3858721	0.8193042	0.6994386	0.9999885	0.1063032	0.9724792	0.9879494	0.6609029	0.0897608
200	0.4479059	0.3858709	0.8193051	0.6994408	0.9999921	0.1059372	0.9722900	0.9824774	0.6426771	0.0897602
250	0.4478591	0.3858699	0.8193061	0.6994424	0.9999938	0.1058876	0.9720431	0.9781021	0.6345596	0.0897597
300	0.4477912	0.3858689	0.8193069	0.6994434	0.9999946	0.1059203	0.9717937	0.9752676	0.6309443	0.0897594
350	0.4477148	0.3858681	0.8193074	0.6994439	0.9999949	0.1059747	0.9715848	0.9736677	0.6293340	0.0897592
400	0.4476430	0.3858674	0.8193078	0.6994442	0.9999950	0.1060293	0.9714328	0.9728399	0.6286169	0.0897592
450	0.4475840	0.3858670	0.8193080	0.6994444	0.9999951	0.1060751	0.9713331	0.9724341	0.6282975	0.0897591
500	0.4475405	0.3858668	0.8193081	0.6994445	0.9999951	0.1061094	0.9712727	0.9722417	0.6281552	0.0897591
550	0.4475112	0.3858666	0.8193081	0.6994445	0.9999936	0.1404124	0.9712595	0.9782334	0.8343869	0.0897591
600	0.4475031	0.3858666	0.8193081	0.6994440	0.9999876	0.1481060	0.9714376	0.9880310	0.9262389	0.0897592
650	0.4475394	0.3858666	0.8193079	0.6994428	0.9999800	0.1497919	0.9717745	0.9931064	0.9671481	0.0897596
700	0.4476190	0.3858668	0.8193073	0.6994409	0.9999741	0.1500943	0.9720945	0.9952122	0.9853684	0.0897601
750	0.4477133	0.3858672	0.8193065	0.6994390	0.9999704	0.1500795	0.9723204	0.9960742	0.9934833	0.0897607
800	0.4477961	0.3858679	0.8193057	0.6994375	0.9999686	0.1500083	0.9724570	0.9964404	0.9970976	0.0897611
850	0.4478567	0.3858687	0.8193050	0.6994365	0.9999677	0.1499450	0.9725325	0.9966017	0.9987073	0.0897614
