YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0429535	0.8852018	0.0345794	0.9597069	0.8670659	0.7195626	0.8354649	1.0868198	0.8599185	1.0181528
0.1768903	0.4192093	0.0404898	0.9663899	0.8751435	0.8255285	0.8580152	1.0432922	0.7197243	0.9868778
0.1105614	0.9513736	0.0137237	0.9630264	0.8468714	0.7787712	0.8445764	0.9796647	0.8485800	1.0359580
0.1046556	0.8833963	0.0425086	0.5854253	0.7909343	0.7660276	0.7822182	0.9666178	0.5363588	0.9914830
0.9729297	0.0650237	0.9396713	0.0409896	0.1387615	0.8302377	0.8026882	1.0372690	0.0721855	1.0203539
0.0744469	0.9889063	0.0323990	1.0158595	1.0041430	0.4253181	0.8356160	0.9560851	0.7229331	1.0033795
0.0950841	1.0528618	0.0415333	1.0322243	0.9502906	0.6615666	0.3709822	0.9788235	0.6997363	0.9807212
0.0855070	1.0043669	0.0344830	1.0409757	0.8651344	0.6321501	0.3070134	0.4989791	0.7786214	1.0127178
0.1043770	0.9162561	0.0408515	1.1006192	0.6871756	0.8523794	0.7986466	0.9389173	0.3955996	0.9882597
0.0819201	0.8944416	0.0308277	1.0322951	0.8020620	0.6892788	0.8571208	0.9471678	0.7489152	0.5041572
