YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	0.9858815	0.9133512	0.2007846	0.0677470	1.0038467	0.7521767	0.5331165	0.4949845	0.6872494
0.0081186	0.0000000	1.2121022	0.1977566	0.0710001	0.9478935	0.6841508	0.5474220	0.4157571	0.6687153
1.0295151	0.9494565	0.0000000	0.1618510	0.2069853	0.9233413	0.5971580	0.6742584	0.2993903	0.8827776
0.9858501	1.1048331	1.0112436	0.0000000	0.0157696	0.9711699	0.8681592	0.3867374	1.0034546	0.2660558
1.0284632	0.9969698	1.1266105	0.2173708	0.0000000	0.8696278	0.6340038	0.5603010	0.5210851	0.7103039
0.9857355	1.0140838	0.9201969	0.2417203	0.0791574	0.0000000	0.7320870	0.5637617	0.5236245	0.7300249
0.9208831	0.9541145	1.0588903	0.2309567	0.0405280	1.0785793	0.0000000	0.4246649	0.5753649	0.6533184
1.0654066	1.0249236	1.1348043	0.2605834	0.1241551	0.8993474	1.0316587	0.0002518	0.4349178	0.7291736
0.8882321	1.0229741	0.9376634	0.2580836	1.0087960	0.0089308	0.2608336	1.0515142	0.0000000	0.7261398
1.0491926	0.9754000	1.0726752	1.0477438	0.0432951	1.0294293	0.8487841	0.4057550	1.0076322	0.0000000
