YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.1600178	0.3886512	0.3515513	0.4068236	0.6432417	0.1419922	0.4486133	0.7101669	0.0399055	0.8120983
0.0049022	0.2160181	0.6148315	0.3895706	0.7300126	0.3995692	0.6652377	0.8280917	0.0439534	0.7168265
0.0356384	0.0297486	0.7184686	0.4478314	0.7981898	0.3237871	0.6286805	0.5293621	0.0303456	0.6257909
0.5565302	0.3824566	0.4966836	0.3802180	0.8369036	0.2747972	0.6303212	0.7916125	0.1397304	0.5751972
0.0004364	0.1457144	0.5823864	0.4241065	0.6218304	0.2255969	0.6677168	0.6682015	0.1111603	0.8533540
0.0027058	0.0914444	0.5135739	0.4327538	0.7611830	0.4838011	0.4966498	0.8819003	0.1352526	0.7326407
0.1301652	0.3864561	0.6678854	0.3464752	0.9102233	0.5090558	0.6708257	0.7287533	0.0100257	0.7592032
0.1381682	0.2912162	0.3213245	0.5550076	0.7835170	0.3446337	0.6443237	0.7307722	0.0622854	0.6098905
0.2146710	0.0641540	0.4815500	0.4521389	0.6749174	0.3216569	0.4976520	0.8422486	0.0098421	0.7644445
0.0124192	0.0924197	0.6968510	0.5042636	0.6670433	0.4187067	0.5851333	0.5056635	0.1276309	0.5474799
