YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.1178486	0.3077775	0.1792503	0.9330072	0.9810216	0.1177990	1.0023153	0.1858656	1.0551135	1.0389917
0.1918544	0.1609976	0.2170312	0.9776493	0.7104176	0.1904068	1.0827952	0.1911285	0.9483648	1.0096111
0.0718395	0.1965000	0.1597291	0.8669350	0.8109200	0.1581901	0.9418526	0.2608293	1.0197618	1.0572440
0.7642642	0.4578986	0.3074469	0.4588102	0.8604846	0.0535863	0.9499156	0.2322468	1.0009863	0.9210286
0.2209755	0.2637654	0.2248209	0.8790962	0.4588551	0.1473358	0.9369155	0.2514195	0.9761003	1.1063439
0.2255658	0.3227807	0.2172909	0.8983030	1.1096845	0.0272105	1.0217906	0.2894734	0.9554647	1.0070598
0.1698963	0.3155027	0.2402858	0.7105100	0.2363519	0.4105295	0.4503038	0.2211635	0.9858875	1.0259729
0.2353696	0.3231621	0.1799200	0.8408341	0.9345830	0.0714201	0.9866895	0.1009921	1.0379218	1.0515914
0.1213238	0.2375237	0.1402314	0.9088666	0.8475671	0.1619071	0.8085415	0.6823713	0.5461467	0.9411696
0.0526375	0.2433029	0.1501098	0.9772496	0.9573547	0.0936239	0.9638009	0.3060694	0.9227657	0.4846785
