YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000003	0.0850722	0.0044001	1.0000000	0.9286270	0.3851671	0.9418165	0.9999999	0.9455807	1.0000000
0.9999919	0.0000010	0.0044001	1.0000000	0.9775122	0.4094662	0.9418165	0.9999999	0.9455807	1.0000000
0.9003199	0.0850721	0.0000000	1.0000000	0.9403507	0.3910964	0.9418165	1.0000000	0.9455806	1.0000000
0.2157133	0.7384007	1.0000000	0.0000000	0.1753789	0.0323846	0.7178436	0.6001098	0.9021540	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.0000000	0.0234416	0.9418165	0.9999999	0.9455807	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9680332	0.0000003	0.9418165	0.9999999	0.9455807	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9680307	0.0234415	0.0000005	0.9999999	0.8168770	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9680307	0.0235252	0.0522690	0.0000000	0.8168873	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9403506	0.3910964	0.9418164	0.9999998	0.0000009	1.0000000
0.9003198	0.0850722	0.0044001	1.0000000	0.9403506	0.3910964	0.9418165	0.9999999	0.5170078	0.0000026
