YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.7383220	0.7221295	0.6181270	0.4861545	0.3035859	0.0224145	0.7194132	0.7567171	0.1972724	0.7872779
0.6446919	0.5767800	0.3945078	0.1081027	0.0274466	0.0473863	0.5705755	0.2467183	0.5113343	0.3562729
0.8063585	0.6688676	0.3341751	0.3032856	0.2362638	0.0712328	0.5755478	0.7891241	0.3041516	0.6610045
0.8015347	0.7647547	0.5729580	0.5656607	0.4207837	0.0710155	0.4435563	0.8829812	0.3289012	0.7759210
0.7350645	0.6668519	0.2467842	0.0973428	0.0403144	0.0112229	0.7802150	0.5022726	0.2648646	0.4417263
0.6672933	0.5479852	0.3315848	0.0504409	0.1238112	0.0721041	0.5164300	0.5705223	0.3033864	0.7202267
0.6488681	0.6930209	0.5632510	0.7399111	0.5321301	0.1024834	0.7059339	0.4914384	0.2199137	0.8141112
0.6154575	0.4542407	0.1169227	0.0566551	0.2258845	0.0725764	0.8414765	0.6389876	0.3464891	0.5939555
0.5497479	0.5869303	0.5554599	0.7833786	0.5545643	0.2799511	0.1807786	0.7006526	0.2257807	0.6933925
0.6065032	0.6665248	0.4668772	0.4838052	0.3818793	0.1335934	0.2910115	0.4445421	0.3431626	0.6952583
