YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.1174154	0.5510964	0.4780348	0.1108390	0.2114744	0.2292772	0.9652374	0.6785147	0.0011211	0.6870860
0.1528403	0.5747862	0.4416913	0.0377133	0.2085380	0.2840173	1.0000000	1.0000000	0.0002176	0.9589369
0.3839507	0.8324096	0.3679713	0.0000002	0.0431555	0.4242690	0.8272209	0.8210954	0.0003503	1.0000000
0.4925046	0.7809575	0.8500318	0.0000039	0.1024605	0.3477036	1.0000000	0.9727051	0.0003503	1.0000000
0.6057989	0.9098304	0.8273015	0.2676218	0.0585365	0.1835198	1.0000000	1.0000000	0.0008819	0.7148528
0.3865648	0.5747859	0.8837349	0.4070356	0.0388847	0.2464531	1.0000000	1.0000000	0.0014589	0.6010529
0.2218271	0.6742116	0.4846473	0.0000002	0.0000000	0.2998862	0.9778348	1.0000000	0.0004645	0.9079884
0.1215218	0.5567963	0.5456943	0.1069764	0.0013503	0.4180541	0.9059162	0.8541152	0.0003503	1.0000000
0.3644437	0.6617704	0.8194338	0.2600682	0.0052731	0.1559264	0.9915852	0.9865983	0.0003503	1.0000000
0.1792612	0.5616823	0.7721982	0.0999011	0.0005225	0.2542568	0.9713906	0.9107304	0.0005789	0.7680070
