YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.2053939	0.6880213	0.6081406	0.1152058	0.2529912	0.9957574	0.9998869	0.0061364	0.5014377	0.9560819
0.8904575	0.7061372	0.5053673	0.2003225	0.2381155	0.9952109	0.8324992	0.1223208	0.2462178	0.9185161
0.3943616	0.5670409	0.5897097	0.1013065	0.2355263	0.9455133	0.9594526	0.0655194	0.3797929	1.0000000
0.5373288	0.7652400	0.6817765	0.3221023	0.2883254	0.9948142	0.9792449	0.0497260	0.4244282	1.0000000
0.0011008	0.0562943	0.9896085	0.6113306	0.6923002	0.1769364	0.0337159	0.7685577	0.1045322	0.8818451
0.3801415	0.0623602	0.9953941	0.5468667	0.7770310	0.1815914	0.0447977	0.7754382	0.0914652	0.9549725
0.0000000	0.0000882	0.9538563	0.4387692	0.6193920	0.1763424	0.0287779	0.8918820	0.1883723	0.9833163
0.4066344	0.0001282	0.9944418	0.5442323	0.7666156	0.1878256	0.0315144	0.7774931	0.2043240	0.9018344
0.8295097	0.5721611	0.6028860	0.1239022	0.2636214	0.9257975	0.4844937	0.2386594	0.2033819	1.0000000
0.4830292	0.2301131	0.6925864	0.3124811	0.2923323	0.7259722	0.2222078	0.3663764	0.1093350	1.0000000
