YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.7880054	0.3333546	0.8618665	0.8895334	1.0588253	0.0343624	0.8246281	0.9887395	1.0197673	0.0746601
0.4186763	0.2896515	0.9001513	0.7763323	1.0553497	0.1616086	0.9536795	1.0003226	0.8822360	0.0527001
0.5385578	0.5181606	0.7699552	0.7180401	0.9287364	0.1950479	0.8473778	1.0530297	0.9437612	0.0661717
0.8450931	0.2423685	0.8200512	0.6929845	0.8772048	0.1231473	1.0667508	1.0237597	0.7460947	0.0846989
0.4691037	0.3626588	0.8876141	0.8639953	1.0711712	0.1241589	0.9672744	0.9582090	1.0835064	0.0829017
0.6378983	0.3074651	0.8430820	0.6912754	1.0265430	0.2179641	0.9660043	0.9850536	1.0038303	0.0901297
0.1790784	0.5029265	0.7396040	0.6180308	0.7467559	0.1653539	0.9479154	1.0397292	1.1237928	0.0514903
0.4648981	0.4160285	0.8621280	0.9169461	0.9605664	0.1718639	0.9165363	0.9622002	1.0195015	0.0823000
0.9517993	0.2415273	0.8389768	0.8292511	0.9143090	0.1229259	1.0461621	0.9072555	0.9468156	0.1298777
0.6238433	0.1989497	0.8809960	0.8344357	1.0165451	0.2464450	0.7789477	1.0199631	0.8990006	0.0376442
