YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.9988833	0.6932657	0.9018957	0.4913734	0.7164061	0.3149525	0.2846373	0.8573495	0.9030530	1.0000000
0.9986106	0.6169962	0.8361006	0.3986105	0.7708197	0.3432062	0.3219101	0.8933204	0.9616537	1.0000000
0.9714786	0.6507434	0.7002781	0.4172175	0.4517380	0.2184839	0.3198120	0.8962228	0.8202754	1.0000000
0.8949590	0.3580462	0.4767662	0.2563544	0.6049816	0.3120550	0.7857539	0.4752274	0.8793049	1.0000000
0.9610954	0.4832584	0.6986826	0.4625837	0.8761331	0.6217420	0.6914557	0.5502746	0.7028730	0.3307966
0.9987534	0.6772922	0.9837670	0.8294296	0.3166011	0.1440725	0.3219169	0.8933067	0.7158279	1.0000000
0.9898146	0.4945173	0.7227013	0.3993416	0.6108358	0.3155609	0.4535537	0.5449029	0.7586204	0.3542597
0.8461451	0.2596024	0.2638948	0.5817424	0.9366834	0.7585636	0.9632475	0.2673501	0.8209797	0.4251605
0.9995500	0.7538613	0.9861055	0.5552886	0.0181338	0.0044448	0.1293852	0.8932222	0.5149961	1.0000000
0.9712556	0.6399079	0.8334315	0.9543264	0.4308190	0.1192868	0.3121177	0.8704600	0.8007076	0.9220035
