YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.1233803	0.3946845	0.3065209	0.8582688	0.3429223	0.5788829	0.8224365	0.2833858	0.1408252	0.6602483
0.1225532	0.2245620	0.4021215	0.7166254	0.0124491	0.0404849	0.0748265	0.0836105	0.1287076	0.7296963
0.1196213	0.4336677	0.1814150	0.8666887	0.4585173	0.6299918	0.6799708	0.3367649	0.0934231	0.7420896
0.1400666	0.2209479	0.7534828	0.3111061	0.3534376	0.8453138	0.7220620	0.3803910	0.2324774	0.7649058
0.1460219	0.3608611	0.3396914	0.7750765	0.1771142	0.6686425	0.7526570	0.3724429	0.1528862	0.7847990
0.1926800	0.4035278	0.3975823	0.7915243	0.2456630	0.4333426	0.6510421	0.1612150	0.1218994	0.6881084
0.1828382	0.2651683	0.4191547	0.6182765	0.3695785	0.6190039	0.3420467	0.3137270	0.1670307	0.7542434
0.2257689	0.3187022	0.4155725	0.6323304	0.3655277	0.7360859	0.6367866	0.1638205	0.1667907	0.7234093
0.1634790	0.3602188	0.3938849	0.7188023	0.2432904	0.1038271	0.0428679	0.0356913	0.0844205	0.7512438
0.2377786	0.2646652	0.4617624	0.6091603	0.4218517	0.8185012	0.8097605	0.6372918	0.2631909	0.4049185
