YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W
0.1599043	0.3838541	0.3192343	0.5043388	0.7232330	0.0641759	0.2058332	0.0623641	0.0366364	0.7541755
0.3139796	0.3543265	0.0274446	0.1350838	0.5340041	0.0900016	0.0937504	0.0388928	0.0472731	0.6908145
0.2294469	0.6434896	0.0732732	0.2783596	0.7142460	0.1010526	0.0659804	0.0600759	0.0308157	0.7226830
0.1927567	0.7406957	0.0379260	0.1751801	0.5644327	0.0938930	0.0660367	0.1054784	0.0759109	0.7878157
0.2899654	0.4948987	0.1802615	0.2797410	0.3610610	0.1187670	0.1785583	0.0258681	0.0392942	0.8784255
0.2252826	0.4961186	0.2774171	0.3845216	0.8605912	0.0437464	0.0916059	0.0836397	0.0339145	0.6714530
0.2389775	0.6063636	0.1020612	0.2558808	0.6922905	0.2380874	0.0456819	0.0459961	0.0291173	0.8410758
0.2634645	0.6352855	0.0932039	0.3363118	0.7228152	0.0723834	0.0694391	0.0332827	0.0350057	0.8516711
0.2246905	0.8121489	0.0950442	0.2462278	0.6563339	0.0831378	0.1040379	0.0298588	0.0192068	0.7399918
0.3094346	0.5432694	0.0699747	0.2225625	0.5691747	0.1953473	0.1714356	0.1005011	0.2084347	0.3127956
