YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.4753549	0.5131719	0.6947141	0.1405403	0.2833804	0.8830737	0.2487841	0.3642443	0.1914176	1.0000000
0.3883890	0.2565880	0.6948068	0.1405632	0.2833914	0.8830765	0.2487842	0.3642438	0.1914176	1.0000000
0.9534624	0.4602337	0.4854995	0.3830323	0.5514544	0.8494722	0.1541332	0.4660180	0.1883823	1.0000000
0.9514331	0.5171905	0.6945793	0.0702483	0.2833676	0.8859583	0.2520154	0.3616696	0.1915343	1.0000000
0.9711357	0.5732743	0.5315472	0.1033411	0.2375126	0.9223449	0.2512018	0.3623308	0.1915047	1.0000000
0.0922880	0.0536828	0.8288563	0.1923842	0.3420518	0.4269524	0.2412680	0.3704755	0.1911499	1.0000000
0.1334447	0.1636027	0.7248676	0.1496123	0.2939303	0.6368634	0.1239304	0.3649827	0.1913845	1.0000000
0.9236857	0.6616769	0.6896887	0.1391107	0.2817352	0.9864855	0.6572520	0.1791340	0.2209614	1.0000000
0.9415970	0.4859923	0.6959102	0.1408773	0.2837734	0.8657072	0.2317288	0.3784498	0.0954090	1.0000000
0.9623527	0.5737060	0.6925289	0.1399154	0.2826567	0.9229846	0.3048608	0.3248308	0.3570767	0.5000000
