YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.3821580	0.0479160	0.3909661	0.8674386	0.9520872	0.0114279	0.9001502	0.9288111	0.6107182	0.5548231
0.0103321	0.0110734	0.4001201	0.8767904	1.0574254	0.0086026	1.0476048	0.9835316	0.8250422	0.5763915
0.5338118	0.3051986	0.3589632	0.9403575	0.7122615	0.0015445	0.9484370	0.9363857	0.7162800	0.6274296
0.0538632	0.0477914	0.3631277	1.0335149	1.0519567	0.0152224	0.9840772	0.8765885	0.6508751	0.6696352
0.0040848	0.0051613	0.3870617	0.8163296	0.8666035	0.0031629	0.9485641	0.8395536	0.7217315	0.6403631
0.0322801	0.0362413	0.4923411	0.5919560	0.9719520	0.0205090	0.9299494	1.0627676	0.9438476	0.1887863
0.1210660	0.0088972	0.3449880	0.7476430	0.9842823	0.0032729	0.9022630	0.8794644	0.7075652	0.6144875
0.3578145	0.0023962	0.3144228	0.9270267	0.8814816	0.0181360	1.0144673	0.9187495	0.6365331	0.6661330
0.3909621	0.2269824	0.3458826	1.0563188	0.9558546	0.0054817	0.9104819	0.8531199	0.6290216	0.7762846
0.5350500	0.4232222	0.3133923	1.0684812	0.7963104	0.0141749	0.9503701	0.8627004	0.6894033	0.6508278
