YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.9065497	1.0155208	0.0468192	0.2337328	0.8820114	0.4806599	1.0217372	0.9400187	0.9749691
1.0676274	0.0000000	0.9716805	0.0866516	0.5912135	0.8564519	0.5391673	0.9150223	1.1122362	0.9678093
1.1247238	0.0523333	0.0000000	0.0433312	0.5628821	0.7895867	0.5081945	1.0545175	1.0396857	1.0365684
0.0631841	0.9922324	1.0431834	0.0030401	0.2749767	0.9665056	0.6119279	0.9569638	0.9797709	1.1200508
0.0660616	0.9708526	1.0106650	0.0186270	0.0000000	0.8603905	0.5105562	1.0427215	1.1085747	0.9309928
0.0682625	1.0233238	1.1601088	0.0519876	0.6077831	0.0000000	0.5555569	0.9448037	1.1170392	1.0206542
0.1434624	1.0127655	1.0281537	0.0391733	0.3032608	1.0352986	0.0000000	1.0373576	0.9672168	0.9657427
0.0991433	0.9071860	1.0173217	0.0267239	0.3562967	0.8182914	0.9563215	0.0000000	1.0024823	1.0279765
0.0662813	0.9702612	1.0831432	0.5089512	0.2967453	0.8745498	0.5551179	1.0563235	0.0000000	1.0109886
0.0970306	1.0499377	1.0772703	0.0385538	0.2639452	0.8808655	0.5451266	0.8520334	1.0117367	0.0000000
