"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
350	0.5221722	0.3207907	0.9990813	0.5465040	0.1277195	1.0000000	0.8602020	0.9653343	0.8193319	0.0153760
400	0.5222742	0.3208242	0.9990715	0.5464869	0.1277161	1.0000000	0.8599568	0.9651985	0.8192839	0.0153050
450	0.5223338	0.3208404	0.9990677	0.5464829	0.1277153	1.0000000	0.8598548	0.9651462	0.8192682	0.0152824
500	0.5223653	0.3208477	0.9990663	0.5464820	0.1277150	1.0000000	0.8598131	0.9651266	0.8192631	0.0152753
550	0.5223786	0.3208305	0.9992974	0.8833820	0.1738972	1.0000000	0.8654078	0.9683517	0.9410000	0.0204328
600	0.5223270	0.3206871	0.9996120	0.9663509	0.1857498	1.0000000	0.8766717	0.9749140	0.9807399	0.0354552
650	0.5221416	0.3204935	0.9997578	0.9855694	0.1887918	1.0000000	0.8842322	0.9794135	0.9937120	0.0489274
700	0.5218971	0.3203529	0.9998134	0.9896237	0.1895725	1.0000000	0.8880115	0.9817039	0.9979433	0.0565391
750	0.5216945	0.3202755	0.9998337	0.9903624	0.1897729	1.0000000	0.8896983	0.9827307	0.9993194	0.0599459
800	0.5215654	0.3202389	0.9998410	0.9904585	0.1898243	1.0000000	0.8904104	0.9831589	0.9997642	0.0612809
850	0.5214956	0.3202229	0.9998437	0.9904556	0.1898375	1.0000000	0.8907017	0.9833290	0.9999071	0.0617621
900	0.5214617	0.3202163	0.9998446	0.9904471	0.1898409	1.0000000	0.8908185	0.9833942	0.9999528	0.0619259
950	0.5214464	0.3202137	0.9998449	0.9904427	0.1898418	1.0000000	0.8908648	0.9834185	0.9999673	0.0619795
1000	0.5214399	0.3202127	0.9998450	0.9904410	0.1898420	1.0000000	0.8908829	0.9834274	0.9999719	0.0619965

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.5214442	0.3202136	0.9998325	0.8609135	0.1446193	0.4170770	0.8843468	0.9949339	0.9186011	0.5244346
100	0.5214417	0.3202232	0.9997973	0.8284991	0.2428669	0.2255014	0.8633758	0.9984570	0.4164214	0.6441492
150	0.5214550	0.3202447	0.9997624	0.7998188	0.3912423	0.1625407	0.8385822	0.9995300	0.1694537	0.7056289
200	0.5214832	0.3202711	0.9997208	0.7014210	0.4881923	0.1418489	0.8172827	0.9998568	0.0775498	0.7905814
250	0.5215219	0.3203091	0.9996157	0.5580016	0.5319861	0.1350486	0.7980335	0.9999563	0.0425349	0.8610170
300	0.5215851	0.3203938	0.9993575	0.4514548	0.5492638	0.1328137	0.7783442	0.9999866	0.0290179	0.8991503
350	0.5217216	0.3205842	0.9988736	0.3937555	0.5558250	0.1320792	0.7599813	0.9999959	0.0238184	0.9165441
400	0.5220066	0.3209277	0.9982062	0.3667492	0.5583109	0.1318378	0.7457618	0.9999987	0.0218155	0.9239294
450	0.5224940	0.3214045	0.9975302	0.3550252	0.5592602	0.1317585	0.7364798	0.9999995	0.0210392	0.9269565
500	0.5231545	0.3219180	0.9970049	0.3501492	0.5596254	0.1317324	0.7311574	0.9999997	0.0207363	0.9281726
550	0.5238702	0.3223482	0.9967479	0.3044045	0.7933455	0.7146468	0.7480149	0.7934251	0.0210207	0.8735214
600	0.5245065	0.3227734	0.9951355	0.2263829	0.5756603	0.9062197	0.7722451	0.7305098	0.0213773	0.8920810
650	0.5253473	0.3239506	0.9930157	0.3683428	0.3689118	0.9691794	0.7822685	0.7113486	0.0216168	0.8135156
700	0.5268274	0.3247535	0.9960131	0.6708848	0.2656605	0.9898709	0.7999054	0.7055133	0.0249528	0.5814880
750	0.5274871	0.3236343	0.9985171	0.8687401	0.2210618	0.9966711	0.8252962	0.7037382	0.0680208	0.3288254
800	0.5263633	0.3220846	0.9994221	0.9482674	0.2025622	0.9989060	0.8441840	0.7042242	0.4123855	0.1785951
850	0.5245515	0.3210706	0.9997067	0.9759384	0.1949880	0.9996405	0.8552346	0.7721582	0.7850083	0.1099439
900	0.5230907	0.3205692	0.9997971	0.9853351	0.1919088	0.9998818	0.8660776	0.8906979	0.9286793	0.0813516
950	0.5222171	0.3203531	0.9998275	0.9885857	0.1906656	0.9999612	0.8766473	0.9484518	0.9765826	0.0697770
1000	0.5217766	0.3202664	0.9998384	0.9897472	0.1901676	0.9999872	0.8836889	0.9707286	0.9923126	0.0651223

0	0.5214626	0.3202139	0.9998451	0.9904395	0.1898421	1.0000000	0.8907897	0.9833661	0.9999457	0.0620068
50	0.4965331	0.2661262	0.9998451	0.9904399	0.1898421	1.0000000	0.8908332	0.9792947	0.7377078	0.2892049
100	0.4467746	0.2503646	0.9998451	0.9904400	0.1898421	1.0000000	0.8905874	0.9611340	0.5803358	0.3484082
150	0.4148737	0.2457715	0.9998451	0.9904401	0.1898421	1.0000000	0.8895946	0.9189678	0.4287511	0.3638355
