YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0000000	0.0163902	0.0118446	0.6012662	0.0386961	0.0544670	0.1502709	0.2879109	0.1522501	0.7772906
0.0022893	0.0000000	0.0439701	0.7492605	0.0047386	0.0886759	0.1244788	0.4756998	0.1393579	0.7248998
0.0381858	0.0392912	0.0000000	0.5356665	0.0310518	0.0455488	0.1293153	0.4442166	0.1903266	0.8048282
0.0390731	0.0514368	0.0336182	0.0000000	0.0307353	0.0472133	0.1270959	0.0482586	0.1475719	0.6788539
0.0282318	0.0412681	0.0308890	0.6990421	0.0000000	0.0792371	0.1315064	0.6448866	0.1188030	0.7401501
0.1042397	0.0205020	0.0228245	0.5895632	0.0415165	0.0000000	0.1106115	0.3922175	0.1546848	0.6948665
0.0439263	0.0529081	0.0142219	0.6557388	0.0245331	0.7020309	0.0000000	0.4403205	0.1785655	0.7990332
0.0506966	0.0438376	0.0424450	0.7158931	0.0121710	0.0566229	0.1437840	0.0000000	0.1914618	0.6535957
0.0478926	0.0343743	0.0330878	0.6887857	0.0384463	0.0550078	0.6446492	0.3534314	0.0000000	0.8078771
0.0474740	0.0901889	0.0363487	0.7525040	0.0063829	0.4619010	0.0244822	0.7824593	0.6357382	0.0000000
