YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
1.1472653	0.7204738	0.9041438	0.4499817	0.7846550	0.3714919	0.3188555	0.8595453	0.9373770	1.0579269
1.0648596	0.6719220	0.8559721	0.3421781	0.7665520	0.3607118	0.2693982	1.0500203	0.9144164	0.9841394
0.9024936	0.6790081	0.7151306	0.3832643	0.4915936	0.2541971	0.3221149	0.8627273	0.9232807	1.0796863
0.9217679	0.4893264	0.4747321	0.3242677	0.6188635	0.3618091	0.8105937	0.4596240	0.8331199	1.0164732
0.8604064	0.4893688	0.6768320	0.4858240	0.9370289	0.6429113	0.7271285	0.5437448	0.8631424	0.3667065
1.1338474	0.6849240	0.9209637	0.8414939	0.3250073	0.1122920	0.3515677	0.9104494	0.6771650	0.9969741
1.0051577	0.5579604	0.7676691	0.5343152	0.4727099	0.1909387	0.3835416	0.6547198	0.6621843	0.3795810
0.8815815	0.2293615	0.2239702	0.6583778	0.9802593	0.8378782	1.0988948	0.3173101	0.8727820	0.4654246
0.9571217	0.7762759	0.9345237	0.5292157	0.0300299	0.0228102	0.1416897	0.8868898	0.4548442	1.0095970
1.1024406	0.6585468	0.8801022	0.8705093	0.6252520	0.1616871	0.3256096	0.7561531	0.8327767	0.8575637
