YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0208757	0.7214961	0.5028849	0.9999244	1.0000000	0.6538220	0.4882430	0.9204376	0.5900116	0.4280817
0.0208899	0.7214694	0.5028599	0.9998845	0.8737945	0.5471297	0.3963772	0.9242890	0.5908447	0.4269794
0.0042059	0.8746500	0.4714535	0.9508387	0.4627686	0.5377902	0.3699820	0.8914501	0.5989463	0.4363046
0.0216060	0.7098200	0.4741701	0.9534979	0.9194266	0.7169864	0.4209575	0.8095288	0.5442804	0.3609071
0.0042587	0.7911642	0.5028852	0.9999250	1.0000000	0.5231317	0.4135549	0.8327946	0.6569416	0.3358604
0.0086217	0.7176494	0.4931134	0.9529927	0.6405857	0.7218496	0.4472742	0.8298443	0.4267297	0.4548077
0.0161782	0.8355091	0.5028870	0.9999278	1.0000000	0.6416593	0.4772938	0.9228411	0.6136969	0.3930259
0.0115903	0.7094038	0.4731937	0.9535357	1.0000000	0.6921908	0.3766475	0.8291972	0.6365116	0.3781842
0.0188542	0.7608010	0.6219419	0.9999210	1.0000000	0.6207036	0.4782686	0.8566371	0.5784738	0.4465770
0.0208834	0.7214931	0.5029055	0.9999574	1.0000000	0.6880641	0.4269400	0.8694405	0.5104211	0.4282505
