YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.0976509	0.7304953	0.5692172	0.1717422	0.4082513	0.5905168	0.5164356	0.5910017	0.2924505	0.7902247
0.1733195	0.5043586	0.6657432	0.1312969	0.2963860	0.5890382	0.3005297	0.6774144	0.3707182	0.8239514
0.3522943	0.8114760	0.3041415	0.2040648	0.2193772	0.5550925	0.4690867	0.6421438	0.3052720	0.7481239
0.2935693	0.7524396	0.3637918	0.0952831	0.2681413	0.4478134	0.4133552	0.7540846	0.3693935	0.7861262
0.1689932	0.7445871	0.5070535	0.5370883	0.1400146	0.5005161	0.4016852	0.6673989	0.3113483	0.8841472
0.2341780	0.7861502	0.7233726	0.5323291	0.1128703	0.2664935	0.4372108	0.4750990	0.1935798	0.8722432
0.2543966	0.8575259	0.6683365	0.5723333	0.1537674	0.3168546	0.2873342	0.4384191	0.2558471	0.7428932
0.2191161	0.8863268	0.4423822	0.0646362	0.3757963	0.5723845	0.6290805	0.3636271	0.3785993	0.8203242
0.4203980	0.8081666	0.5069673	0.1109843	0.4068976	0.6045989	0.4388463	0.5556031	0.2290943	0.7588405
0.1963763	0.6928106	0.5603563	0.1798728	0.2602855	0.3973268	0.2624941	0.6747309	0.3153756	0.4131912
