"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W

0	1.0000000	0.9086821	0.8845885	0.4117856	0.3975520	0.6774357	0.6604051	0.1053757	0.9999983	0.0317247
50	1.0000000	0.9212640	0.8855151	0.3958282	0.4872827	0.6771281	0.6599112	0.1086666	0.9999983	0.0317192
100	1.0000000	0.9352390	0.8969421	0.3259318	0.5625036	0.6732636	0.6524651	0.1263618	0.9999983	0.0316238
150	1.0000000	0.9437955	0.9243634	0.2473152	0.5905120	0.6656195	0.6291750	0.1501029	0.9999983	0.0310959
200	1.0000000	0.9494231	0.9532228	0.1910535	0.5964109	0.6621027	0.5965405	0.1686745	0.9999984	0.0299973
250	1.0000000	0.9535577	0.9732843	0.1584452	0.5969350	0.6663327	0.5664729	0.1794987	0.9999985	0.0286888
300	1.0000000	0.9565144	0.9844587	0.1414819	0.5994099	0.6752900	0.5448790	0.1848952	0.9999987	0.0275605
350	1.0000000	0.9584520	0.9900071	0.1324927	0.6048042	0.6846874	0.5315494	0.1878722	0.9999989	0.0267609
400	1.0000000	0.9596177	0.9926642	0.1267649	0.6114018	0.6921656	0.5237159	0.1902981	0.9999990	0.0262606
450	1.0000000	0.9602750	0.9940026	0.1222568	0.6174656	0.6973597	0.5186737	0.1927857	0.9999991	0.0259707
500	1.0000000	0.9606325	0.9947737	0.1184277	0.6222090	0.7008667	0.5147803	0.1952539	0.9999992	0.0258092
550	1.0000000	0.9513215	0.9952664	0.1193471	0.5403093	0.7034031	0.5115855	0.1942376	0.9999992	0.0257192
600	1.0000000	0.9410083	0.9950117	0.1461842	0.4713447	0.7053708	0.5129681	0.1789307	0.9999992	0.0256698
650	1.0000000	0.9353099	0.9920955	0.1966839	0.4447039	0.7059307	0.5257765	0.1575521	0.9999992	0.0256641
700	1.0000000	0.9324034	0.9844705	0.2470064	0.4358552	0.7035797	0.5487551	0.1404699	0.9999992	0.0257506
750	1.0000000	0.9304442	0.9727463	0.2841693	0.4309081	0.6983244	0.5742915	0.1298264	0.9999992	0.0259938
800	1.0000000	0.9285054	0.9599477	0.3093282	0.4249919	0.6917455	0.5960321	0.1236327	0.9999992	0.0264085
850	1.0000000	0.9263955	0.9483578	0.3283055	0.4177837	0.6856794	0.6120239	0.1195516	0.9999992	0.0269381
900	1.0000000	0.9242421	0.9382351	0.3454081	0.4106085	0.6812598	0.6233839	0.1162175	0.9999991	0.0275041
950	1.0000000	0.9221607	0.9288256	0.3619445	0.4047645	0.6787247	0.6319731	0.1132039	0.9999990	0.0280607
1000	1.0000000	0.9201557	0.9196002	0.3771627	0.4008453	0.6776943	0.6390637	0.1105803	0.9999990	0.0286025

0	1.0000000	0.9086821	0.8845885	0.4117856	0.3975520	0.6774357	0.6604051	0.1053757	0.9999983	0.0317247
50	1.0000000	0.9086945	0.8848586	0.4116900	0.3978658	0.6834342	0.5406459	0.1053844	0.9999983	0.0317203
100	1.0000000	0.9087363	0.8850765	0.4100046	0.4072597	0.7154692	0.4207968	0.1056846	0.9999983	0.0317087
150	1.0000000	0.9088093	0.8867490	0.3962000	0.4371404	0.7580763	0.3615875	0.1082558	0.9999983	0.0316880
200	1.0000000	0.9091649	0.8946051	0.3595186	0.4794628	0.7911735	0.3352789	0.1157441	0.9999983	0.0315836
250	1.0000000	0.9104423	0.9118691	0.3066646	0.5184138	0.8109523	0.3200909	0.1281061	0.9999983	0.0312138
300	1.0000000	0.9131178	0.9345832	0.2537279	0.5463546	0.8222689	0.3066284	0.1424272	0.9999984	0.0304556
350	1.0000000	0.9168528	0.9556707	0.2110845	0.5643336	0.8303500	0.2931642	0.1555609	0.9999985	0.0294202
400	1.0000000	0.9207643	0.9712087	0.1807971	0.5764421	0.8377623	0.2807929	0.1659661	0.9999986	0.0283569
450	1.0000000	0.9241140	0.9811253	0.1605060	0.5858979	0.8448815	0.2705834	0.1736742	0.9999988	0.0274600
500	1.0000000	0.9266082	0.9869856	0.1469311	0.5941101	0.8512733	0.2627651	0.1794149	0.9999989	0.0267989
550	1.0000000	0.9282959	0.9903695	0.1374952	0.6007408	0.8480877	0.3552984	0.1838969	0.9999991	0.0263536
600	1.0000000	0.9293698	0.9923579	0.1311159	0.5956933	0.8118546	0.4484088	0.1871510	0.9999991	0.0260701
650	1.0000000	0.9300300	0.9935039	0.1300773	0.5672640	0.7673206	0.4923116	0.1870559	0.9999992	0.0258951
700	1.0000000	0.9304219	0.9938506	0.1393492	0.5255451	0.7355880	0.5108106	0.1808978	0.9999992	0.0257908
750	1.0000000	0.9306157	0.9929795	0.1621698	0.4872790	0.7175427	0.5230116	0.1691581	0.9999992	0.0257397
800	1.0000000	0.9306030	0.9900742	0.1962896	0.4599371	0.7073727	0.5375386	0.1552317	0.9999992	0.0257452
850	1.0000000	0.9303040	0.9842391	0.2347986	0.4423431	0.7003239	0.5557436	0.1424561	0.9999992	0.0258299
900	1.0000000	0.9296010	0.9752459	0.2710266	0.4306122	0.6942873	0.5754439	0.1323859	0.9999992	0.0260257
950	1.0000000	0.9284112	0.9639386	0.3018693	0.4217840	0.6889294	0.5939490	0.1250015	0.9999992	0.0263542
1000	1.0000000	0.9267528	0.9516868	0.3272963	0.4145517	0.6845380	0.6096687	0.1196223	0.9999992	0.0268092

0	1.0000000	0.9086821	0.8845885	0.4117856	0.3975520	0.6774357	0.6604051	0.1053757	0.9999983	0.0317247
50	1.0000000	0.9087299	0.8883638	0.3683962	0.3978412	0.6833756	0.5146806	0.2586894	0.9999983	0.0317094
100	1.0000000	0.9095338	0.9064644	0.3134392	0.4081748	0.7234527	0.3278812	0.4369890	0.9999983	0.0314710
150	1.0000000	0.9120565	0.9300256	0.2690816	0.4477613	0.7929777	0.2077503	0.5414171	0.9999983	0.0307477
200	1.0000000	0.9158286	0.9509003	0.2210717	0.5139916	0.8603852	0.1451971	0.5951129	0.9999984	0.0296986
250	1.0000000	0.9198301	0.9683754	0.1678660	0.5829234	0.9079378	0.1154689	0.6246450	0.9999986	0.0286091
300	1.0000000	0.9234443	0.9819042	0.1202074	0.6364780	0.9359345	0.1016869	0.6435847	0.9999988	0.0276369
350	1.0000000	0.9263830	0.9907608	0.0848053	0.6711937	0.9508571	0.0950876	0.6568454	0.9999989	0.0268528
400	1.0000000	0.9285367	0.9956539	0.0615564	0.6913085	0.9584582	0.0916750	0.6660615	0.9999990	0.0262823
450	1.0000000	0.9299598	0.9980321	0.0474367	0.7022025	0.9623128	0.0897515	0.6721508	0.9999991	0.0259073
500	1.0000000	0.9308168	0.9990964	0.0392847	0.7078999	0.9643194	0.0886020	0.6759511	0.9999992	0.0256819
550	1.0000000	0.9312944	0.9995272	0.0473443	0.7106336	0.9610758	0.1481991	0.5470847	0.9999992	0.0255559
600	1.0000000	0.9315408	0.9995561	0.0605666	0.7074156	0.9369447	0.2281357	0.3960121	0.9999992	0.0254905
650	1.0000000	0.9316491	0.9993439	0.0698836	0.6911470	0.8973642	0.2998291	0.3074217	0.9999993	0.0254615
700	1.0000000	0.9316764	0.9990451	0.0773071	0.6609550	0.8540701	0.3605597	0.2614141	0.9999993	0.0254541
750	1.0000000	0.9316599	0.9987016	0.0861920	0.6217796	0.8145073	0.4074938	0.2347477	0.9999993	0.0254583
800	1.0000000	0.9316187	0.9982248	0.0992428	0.5803184	0.7823049	0.4422280	0.2147986	0.9999993	0.0254692
850	1.0000000	0.9315530	0.9974077	0.1180859	0.5421846	0.7577749	0.4694054	0.1968409	0.9999993	0.0254870
900	1.0000000	0.9314431	0.9959125	0.1428675	0.5102569	0.7392210	0.4932300	0.1801093	0.9999993	0.0255173
950	1.0000000	0.9312482	0.9932811	0.1722025	0.4847247	0.7246093	0.5158913	0.1651239	0.9999993	0.0255712
1000	1.0000000	0.9309074	0.9890383	0.2039018	0.4643544	0.7125633	0.5377906	0.1523402	0.9999993	0.0256655

0	1.0000000	0.9086821	0.8845885	0.4117856	0.3975520	0.6774357	0.6604051	0.1053757	0.9999983	0.0317247
50	0.6287402	0.8941392	0.5721010	0.4117115	0.3974041	0.6774226	0.6577505	0.1165198	0.9999985	0.0216281
100	0.2954953	0.7148225	0.3055922	0.4118275	0.3974916	0.6785793	0.6439066	0.1294426	0.9999992	0.0135131
150	0.1508736	0.4940445	0.1951794	0.4116239	0.3988512	0.6823888	0.6247318	0.1369737	0.9999997	0.0155019
200	0.0988418	0.3625075	0.1568478	0.4096733	0.4026008	0.6880466	0.6085896	0.1408980	0.9999998	0.0236344
250	0.0816635	0.3003125	0.1446843	0.4042298	0.4083704	0.6934960	0.5976425	0.1433854	0.9999994	0.0314546
300	0.0762593	0.2737092	0.1413708	0.3948951	0.4145475	0.6973268	0.5905366	0.1456023	0.9999986	0.0365547
350	0.0746096	0.2629225	0.1410809	0.3831908	0.4195821	0.6992943	0.5854269	0.1478253	0.9999974	0.0392810
400	0.0741160	0.2586868	0.1418397	0.3715309	0.4227973	0.6999256	0.5812051	0.1498742	0.9999964	0.0405295
450	0.0739703	0.2570575	0.1428769	0.3618693	0.4243791	0.6999392	0.5775462	0.1515047	0.9999958	0.0409850
500	0.0739278	0.2564396	0.1438424	0.3550323	0.4249397	0.6998595	0.5745235	0.1526143	0.9999954	0.0410582
550	0.4451753	0.1873859	0.4700981	0.3508190	0.4250592	0.6998608	0.5741455	0.1422621	0.9998775	0.1724920
600	0.7784166	0.2534869	0.7493006	0.3485387	0.4248625	0.6989532	0.5837615	0.1297921	0.9992161	0.1545393
650	0.9230372	0.5003555	0.8649757	0.3476995	0.4237111	0.6954858	0.5996879	0.1224497	0.9992581	0.0991633
700	0.9750687	0.7028590	0.9050552	0.3487318	0.4203296	0.6899872	0.6144725	0.1186271	0.9996224	0.0630627
750	0.9922469	0.8180721	0.9173919	0.3529356	0.4147930	0.6844137	0.6252251	0.1162157	0.9998504	0.0446281
800	0.9976512	0.8741735	0.9194799	0.3610205	0.4085851	0.6802626	0.6326395	0.1140258	0.9999468	0.0360588
850	0.9993009	0.8991082	0.9169214	0.3720777	0.4032957	0.6779648	0.6383390	0.1117596	0.9999815	0.0323038
900	0.9997945	0.9092739	0.9117689	0.3839687	0.3997581	0.6771761	0.6433961	0.1096065	0.9999931	0.0307974
950	0.9999401	0.9127763	0.9053926	0.3944780	0.3979714	0.6772560	0.6480688	0.1078456	0.9999969	0.0303378
1000	0.9999827	0.9133550	0.8990672	0.4022502	0.3974345	0.6776183	0.6521355	0.1066266	0.9999980	0.0303647

0	1.0000000	0.9086821	0.8845885	0.4117856	0.3975520	0.6774357	0.6604051	0.1053757	0.9999983	0.0317247
50	1.0000000	0.9087525	0.8905552	0.3398519	0.3972373	0.6752286	0.6602569	0.1053791	0.9999983	0.0317025
100	1.0000000	0.9099935	0.9182128	0.2507843	0.3938802	0.6645648	0.6602056	0.1052367	0.9999983	0.0313345
150	1.0000000	0.9136752	0.9499116	0.1961736	0.3841444	0.6515761	0.6605077	0.1043356	0.9999983	0.0302834
200	1.0000000	0.9186338	0.9711996	0.1714288	0.3711299	0.6420621	0.6620563	0.1019623	0.9999985	0.0289167
250	1.0000000	0.9230815	0.9821248	0.1653299	0.3594960	0.6362786	0.6659530	0.0983055	0.9999987	0.0277241
300	1.0000000	0.9262185	0.9866093	0.1686040	0.3510449	0.6325413	0.6724224	0.0942609	0.9999989	0.0268985
350	1.0000000	0.9280854	0.9877320	0.1751963	0.3452156	0.6294670	0.6805400	0.0906259	0.9999990	0.0264124
400	1.0000000	0.9290304	0.9872901	0.1820370	0.3408121	0.6264704	0.6889280	0.0877155	0.9999991	0.0261673
450	1.0000000	0.9294040	0.9862370	0.1880934	0.3369945	0.6235334	0.6965429	0.0854628	0.9999992	0.0260705
500	1.0000000	0.9294630	0.9850306	0.1933135	0.3334559	0.6208401	0.7029733	0.0836639	0.9999992	0.0260553
550	1.0000000	0.9293437	0.9801096	0.3012776	0.3303559	0.6205847	0.7082882	0.0821480	0.9999992	0.0260876
600	1.0000000	0.9284476	0.9496375	0.4350793	0.3309602	0.6328144	0.7127258	0.0809232	0.9999992	0.0263458
650	1.0000000	0.9246608	0.8927202	0.5166261	0.3419003	0.6553527	0.7162156	0.0806758	0.9999992	0.0274290
700	1.0000000	0.9164853	0.8373937	0.5438987	0.3627914	0.6762629	0.7175553	0.0827240	0.9999990	0.0297399
750	1.0000000	0.9054550	0.8062183	0.5287105	0.3854339	0.6879483	0.7145479	0.0876419	0.9999987	0.0328233
800	1.0000000	0.8956952	0.8040494	0.4905117	0.4015857	0.6896085	0.7059464	0.0943685	0.9999982	0.0354983
850	1.0000000	0.8908419	0.8222080	0.4496407	0.4079820	0.6849904	0.6930976	0.1008423	0.9999976	0.0367524
900	1.0000000	0.8914700	0.8472565	0.4195733	0.4064945	0.6790509	0.6793521	0.1053252	0.9999972	0.0364782
950	1.0000000	0.8955454	0.8687685	0.4046825	0.4014949	0.6750863	0.6680686	0.1072551	0.9999971	0.0352923
1000	1.0000000	0.9005048	0.8821961	0.4023733	0.3968636	0.6738976	0.6610548	0.1071957	0.9999973	0.0339132

0	1.0000000	0.9086821	0.8845885	0.4117856	0.3975520	0.6774357	0.6604051	0.1053757	0.9999983	0.0317247
50	0.7648959	0.8984769	0.7845694	0.3534063	0.6172068	0.6764152	0.6406258	0.2082738	0.9374534	0.0325431
100	0.5538652	0.8155879	0.7176611	0.2310953	0.8022913	0.6761053	0.5511652	0.3462617	0.8854292	0.0370690
150	0.4622821	0.6634279	0.7108824	0.1321850	0.8774712	0.6931698	0.4482814	0.4416393	0.8645851	0.0425746
200	0.4293324	0.5235744	0.7188550	0.0727032	0.9049901	0.7288496	0.3736226	0.4950661	0.8576187	0.0457495
250	0.4184541	0.4330438	0.7248420	0.0410967	0.9176439	0.7677794	0.3292970	0.5219286	0.8554677	0.0467540
300	0.4150318	0.3846874	0.7276328	0.0252820	0.9258756	0.7987605	0.3055829	0.5348023	0.8548308	0.0467843
350	0.4139871	0.3616869	0.7287156	0.0175800	0.9318757	0.8193466	0.2936130	0.5410077	0.8546468	0.0465780
400	0.4136745	0.3515403	0.7290992	0.0138506	0.9360323	0.8315815	0.2877452	0.5441562	0.8545945	0.0463958
450	0.4135823	0.3472886	0.7292289	0.0120301	0.9386851	0.8383534	0.2848830	0.5458692	0.8545798	0.0462826
