YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000000	0.2578455	0.8881040	0.5874077	0.7752282	0.4603626	0.1606000	0.0291894	0.9420112	0.4793150
0.9742152	0.0000000	0.8409716	0.4652726	0.6472189	0.9672389	0.8072927	0.0931213	0.3715992	0.6330356
0.0968669	0.3574552	0.0000000	0.4215131	0.6153598	1.0279795	1.0217576	0.3562375	0.2580970	0.6314887
0.0973619	0.3314085	0.0617854	0.0000000	0.6225446	0.9839892	0.9841491	0.5004255	0.1523386	0.6167316
0.0750284	1.0165647	0.0636491	0.0354165	0.0000000	1.0512685	1.0553697	0.4892073	0.1454475	1.0580443
0.1963699	0.2605832	0.9182681	0.6438942	0.9828431	0.0000000	0.6223737	0.0367227	0.4962761	0.4559747
0.1674372	0.2203570	0.9811216	0.6873667	1.0371788	0.0781631	0.0000000	0.0344671	0.5427794	0.4707063
0.1088827	0.3247490	0.8055695	0.4926389	0.5165709	0.8780782	0.4973406	0.0000000	0.6367991	0.5987374
0.0938674	0.4005590	0.6999722	0.4318623	0.6221062	1.0114635	1.0261908	0.9906055	0.0000000	0.5525148
0.1397663	0.3469849	0.7623757	0.5186746	0.7039322	0.7685640	0.3666270	0.0275191	0.6394401	0.0000000
