YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0975119	0.2891171	0.0385584	0.9298104	0.0715338	0.6990424	0.3689176	0.1084099	0.0251836	0.0351745
0.0469273	0.1941816	0.0317154	0.8329578	0.0642449	0.5601437	0.3767093	0.0838857	0.0147579	0.0285642
0.1052895	0.3419361	0.0319443	0.7452095	0.0759811	0.5357095	0.4536228	0.1565965	0.0257870	0.0594692
0.5670083	0.6160700	0.1765305	0.4556947	0.0560335	0.5989426	0.4120439	0.4117097	0.0507592	0.0514116
0.1429553	0.3243397	0.0102185	0.8393967	0.0411716	0.5837338	0.4753431	0.3253705	0.0136920	0.0350899
0.1592028	0.3876689	0.0210864	0.8280195	0.1014362	0.3417445	0.5318820	0.7148869	0.0156286	0.0368590
0.1513369	0.3450559	0.0301735	0.8244109	0.0298123	0.7059544	0.2374364	0.4225970	0.0268577	0.0303934
0.1422635	0.4086271	0.0407688	0.8024342	0.0671148	0.6459532	0.3724786	0.0395335	0.0101728	0.0331014
0.1174485	0.4376516	0.0682994	0.8998550	0.0286080	0.6302438	0.3355099	0.2943454	0.0057331	0.0282748
0.1489978	0.3903310	0.0267361	0.9665816	0.1048219	0.5151972	0.3548049	0.1164963	0.0258349	0.0379188
