YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.6205976	0.2261732	0.4760966	0.7849988	0.5801916	0.9461628	0.1959800	0.7805991	0.9407914	0.9062817
0.4176562	0.1795327	0.3022768	0.9030411	0.6516976	0.8504102	0.4564722	0.8708683	1.0000000	0.9726743
0.6301309	0.2767993	0.4657312	0.9565879	0.5066344	0.9999997	0.0025075	0.7358363	0.9183818	0.6370570
0.5359114	0.3407003	0.5758262	0.4840781	0.6546350	0.8061887	0.0282806	0.8669076	1.0000000	1.0000000
0.6034107	0.2473883	0.4950367	0.7008219	0.6258410	0.6936343	0.0089919	0.7682681	1.0000000	0.9931392
0.5477323	0.1646612	0.4175602	0.9599651	0.3711286	0.7719487	0.5596586	0.7682265	1.0000000	0.6856116
0.6483165	0.2183288	0.4463942	0.6261426	0.5257996	0.7752166	0.1544093	0.8282318	0.9190934	1.0000000
0.6156801	0.2321385	0.4814802	0.7519658	0.6217758	0.9999997	0.0025072	0.7344708	0.9154278	0.8171376
0.4345768	0.1031886	0.3493121	0.8780093	0.3893691	0.8025232	0.0054194	0.7682251	1.0000000	0.6933246
0.4698180	0.4460064	0.6674684	0.5384687	0.5651266	0.8481049	0.0882972	0.7682248	1.0000000	1.0000000
