YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.3176242	1.0111109	1.0442154	0.0796574	0.0997655	0.2178667	0.9264689	0.9896418	0.1167740	1.0388150
0.3606082	0.5300408	1.0091292	0.0625843	0.0890172	0.1983679	1.0631525	1.1118170	0.1164874	0.9411541
0.7446994	0.9127054	0.4680226	0.0627225	0.0954501	0.2673811	0.9189664	0.9554236	0.1050460	0.9532117
0.6078000	1.0611451	0.9464378	0.0291002	0.1395712	0.1528553	1.0392213	1.0666385	0.1039682	0.8963097
0.7807038	1.0358051	1.0524264	0.1140478	0.0425066	0.1626858	1.1052482	1.0562226	0.1087433	0.9389117
0.6836333	1.0782640	1.0403052	0.1165141	0.2958791	0.1254213	0.9091596	1.0481404	0.0981484	0.9576785
0.7139116	1.0781225	1.0214567	0.0730595	0.1193576	0.8402622	0.4589086	1.0631378	0.1329598	1.0034691
0.6749410	1.0028343	1.0587236	0.0700028	0.1328496	0.1866215	1.1805448	0.5006378	0.1197116	0.9901104
0.7108217	1.0814786	1.0639588	0.0989305	0.1092419	0.2107030	0.9850071	0.9965823	0.0430860	1.0784631
0.7360695	0.9840390	0.9323303	0.0744815	0.1048180	0.1975126	1.1258988	0.9645688	0.2027240	0.4960423
