YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0897852	0.0954904	0.2408685	0.4971569	0.8620568	0.8738733	0.6112166	0.6985757	0.8311915	1.0000000
0.1037256	0.0477125	0.2406464	0.4968407	0.8631454	0.8802003	0.6355102	0.6985757	0.8311915	1.0000000
0.1190944	0.0571291	0.1203414	0.4968997	0.8629317	0.8789507	0.6305723	0.6985757	0.8311915	1.0000000
0.1051807	0.0486009	0.0639052	0.2484166	0.8631333	0.8800833	0.6350450	0.6985757	0.8311915	1.0000000
0.3036026	0.1865059	0.4073093	0.7026607	0.4300751	0.8631092	0.5740661	0.6985757	0.8311915	1.0000000
0.2055349	0.1129648	0.2790245	0.5434556	0.7165943	0.4358256	0.6030785	0.6985757	0.8311915	1.0000000
0.1855297	0.0995030	0.2501669	0.5084942	0.8264814	0.7094525	0.3046619	0.6985757	0.8311915	1.0000000
0.1794064	0.0952953	0.2400843	0.4959218	0.8666751	0.9023468	0.7410529	0.3492909	0.8311915	1.0000000
0.1792282	0.0951517	0.2397360	0.4955398	0.8676952	0.9080071	0.7738186	0.2696956	0.4155957	1.0000000
0.1786254	0.0947349	0.2388169	0.4945266	0.8705503	0.9247633	0.8934441	0.0513905	0.1162676	0.5000001
