"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.6258613	0.8564099	0.5109283	0.9797785	0.4305379	0.5426353	0.1059473	0.1415658	1.0748207	1.0311001
50	0.5824376	0.8979288	0.5545455	1.0067178	0.4907429	0.5451057	0.6327918	0.1805705	0.9616584	0.9233829
100	0.5915175	0.8619934	0.5164107	1.0527725	0.5300706	0.3517601	0.8082563	0.1725604	0.7888493	0.8662496
150	0.5309199	0.8645710	0.4630151	1.0277639	0.4675451	0.3171512	0.8462283	0.1882215	0.5420742	0.8194050
200	0.5422079	0.8713990	0.5699643	0.9537528	0.4455775	0.3881314	0.7838427	0.2169421	0.4759144	0.8003273
250	0.5243570	0.8926173	0.5351703	1.0100405	0.4157746	0.3722159	0.7703390	0.2680948	0.4437853	0.8632339
300	0.5467924	0.8633670	0.5138908	0.9547550	0.4604739	0.4080437	0.8423969	0.3362097	0.4486626	0.8163339
350	0.5412366	0.9152375	0.5518978	1.0018500	0.3875293	0.3403651	0.8405981	0.4163840	0.4164441	0.7470560
400	0.6098290	0.9306438	0.5094119	1.0674555	0.4479717	0.3115813	0.8911661	0.4310014	0.3555373	0.7220045
450	0.5649262	0.9259316	0.5517814	0.9455716	0.4164104	0.3549021	0.9271856	0.4709037	0.4507321	0.7249824
500	0.4953321	0.9107083	0.5306551	0.9025227	0.3837500	0.3129232	0.9472476	0.3746987	0.4421340	0.8276945
550	0.4922187	0.9336529	0.5714347	0.9794659	0.3933985	0.4609333	0.5624422	0.3756377	0.4208482	0.8893273
600	0.5533514	0.9721534	0.4784598	0.9753854	0.4522805	0.4442798	0.5106471	0.3526966	0.4496810	0.9352094
650	0.5768201	0.9282071	0.5641349	0.9250505	0.4006446	0.3796643	0.4675326	0.3264192	0.6002820	0.9316349
700	0.5412714	0.8651749	0.5449085	1.0325606	0.3834490	0.3739207	0.4247116	0.2634620	0.7351180	1.0142388
750	0.4978431	0.9334432	0.5656251	1.1024939	0.4297091	0.4077948	0.3549642	0.2097990	0.7639764	1.0613395
800	0.5362748	0.8935245	0.4930618	1.0654354	0.3420133	0.3490850	0.2930030	0.2027780	0.8693858	0.9378411
850	0.5152561	0.8419390	0.5311270	1.0035329	0.4147141	0.4732286	0.2973397	0.2122302	0.8872879	0.8450821
900	0.6282695	0.9595018	0.4956034	1.0781018	0.4701014	0.4357165	0.1933463	0.1960595	0.9839646	0.9590341
950	0.4913503	0.8822941	0.5745047	1.0357704	0.4492190	0.3960613	0.2105748	0.1625138	0.9507507	0.9899857
1000	0.4979580	0.8984925	0.5086668	0.9490004	0.4708142	0.4091308	0.1711170	0.1598142	0.9843705	0.9982289

0	0.6258613	0.8564099	0.5109283	0.9797785	0.4305379	0.5426353	0.1059473	0.1415658	1.0748207	1.0311001
50	0.3601092	0.6360582	0.4851160	1.0210370	0.3759398	0.2954696	0.1825722	0.0868844	0.2499476	0.8579321
100	0.3135536	0.6608702	0.4786737	1.0827064	0.3274750	0.3476814	0.1747964	0.0783040	0.1509476	0.7682884
150	0.2244807	0.5950429	0.5270792	1.0134436	0.3422327	0.4644145	0.1914697	0.1434052	0.1139170	0.7919975
200	0.2408585	0.6010779	0.5417677	1.0334274	0.3738443	0.4251767	0.1907908	0.1753266	0.1318574	0.7075033
250	0.2305619	0.5993499	0.4937638	0.9173653	0.3443492	0.5246833	0.2486284	0.1890434	0.1239328	0.7382139
300	0.2413723	0.5747537	0.6335428	1.0098130	0.3210478	0.4790130	0.2447365	0.2183871	0.1561655	0.7131260
350	0.2553470	0.5535974	0.6158382	1.0248909	0.3115435	0.5538152	0.2416193	0.2088670	0.1363740	0.6766569
400	0.3285576	0.5585313	0.5441165	1.0123965	0.3383669	0.5455606	0.2343071	0.2062294	0.1664473	0.6840042
450	0.2860320	0.5420940	0.5631897	1.0124754	0.3399174	0.4799567	0.2836274	0.2155861	0.1486855	0.7141582
500	0.2958830	0.5987725	0.5545573	0.9840153	0.3629067	0.5011267	0.2640258	0.2388971	0.1362910	0.6769598
550	0.5884729	0.7429674	0.4967745	0.9753536	0.4486628	0.6094005	0.2636457	0.4196246	0.8191243	0.8587712
600	0.6720061	0.7911673	0.5037404	0.9427281	0.5077924	0.5157078	0.3222921	0.2903540	0.8900238	0.9594434
650	0.6485841	0.8932699	0.4875005	0.9668233	0.5359351	0.4472702	0.2891816	0.2228378	0.9077922	1.0367495
700	0.6129853	0.8671411	0.5314155	1.0167512	0.5163041	0.3869828	0.2626345	0.2116404	0.8393269	1.0149797
750	0.6459207	0.8323190	0.5311463	0.9222104	0.4624098	0.3902196	0.2194917	0.2036549	0.9762624	1.0098269
800	0.5760290	0.8351596	0.5842550	0.9982576	0.3987675	0.3721114	0.1907991	0.1605691	0.9610610	0.9618630
850	0.5448557	0.8411856	0.5352558	1.0730218	0.3914015	0.3333337	0.1372722	0.1381058	0.9850682	0.9621184
900	0.5524610	0.8021702	0.4607308	0.9254615	0.3982889	0.3732330	0.0906820	0.1626260	1.0234976	0.9660718
950	0.5276643	0.9227742	0.4733971	0.9264320	0.3919092	0.4511044	0.0727839	0.1580654	0.9901285	0.9173391
1000	0.5494133	0.9431623	0.5429886	0.9503630	0.4043306	0.5200190	0.1510165	0.1580429	0.9276354	0.9367028

0	0.6258613	0.8564099	0.5109283	0.9797785	0.4305379	0.5426353	0.1059473	0.1415658	1.0748207	1.0311001
50	0.4840926	0.8963471	0.5318065	1.0430826	0.3881406	0.4094773	0.1140249	0.1844349	0.5881764	0.9708485
100	0.5742540	0.9359742	0.4754296	1.1351934	0.3374158	0.4249467	0.1995849	0.2210794	0.5675316	0.9726892
150	0.5120209	0.9158647	0.4591028	1.0627728	0.3300178	0.5061819	0.1985308	0.2453288	0.5446993	0.9647372
200	0.5299781	0.9695615	0.5209397	0.9797321	0.3755183	0.6855481	0.2009659	0.1890011	0.6097009	1.0571924
250	0.4161456	0.9751046	0.5397788	0.9899027	0.3207079	0.7183250	0.2058167	0.1882768	0.6205120	1.0068294
300	0.4626579	0.9613554	0.5762172	1.0351402	0.3467643	0.6352403	0.1818652	0.2347035	0.5952102	1.0209063
350	0.5225803	0.9166926	0.5100684	1.0443386	0.3707265	0.5865308	0.1280356	0.2091533	0.6256330	0.9783811
400	0.4737381	0.9321505	0.4695182	0.9925994	0.3958662	0.5540538	0.1831154	0.1831026	0.5743541	0.9409579
450	0.4076627	0.9558877	0.4755159	0.9634818	0.3629879	0.5183342	0.1130480	0.2061193	0.6118081	0.9565451
500	0.4280378	0.9459456	0.4691621	0.9689136	0.3669024	0.4924548	0.1454124	0.2022536	0.6156964	0.9578629
550	0.4896043	0.9940179	0.4645985	0.9665802	0.4370238	0.5014736	0.1480438	0.2352535	0.8784257	0.9671080
600	0.5052369	0.9358649	0.5229698	0.9668102	0.4366254	0.4734321	0.1667919	0.1622006	1.0093374	1.0552794
650	0.5348419	0.9663609	0.5674252	0.9425491	0.4508579	0.4257202	0.1661073	0.1739017	0.9317285	0.9712932
700	0.5334220	0.9290965	0.5486167	0.9208615	0.4100090	0.3387491	0.1783678	0.1965409	0.9481752	0.9663207
750	0.5921889	0.9319498	0.5137579	0.9966094	0.4003353	0.3619682	0.1892580	0.2451966	1.0725484	1.0251348
800	0.6221993	0.9254681	0.4586576	0.8765782	0.3539293	0.4208189	0.1930272	0.2231043	1.0556350	1.0412574
850	0.6084419	0.9251349	0.4544307	0.9888520	0.3942245	0.5275386	0.1733517	0.1563766	1.0254445	0.9952743
900	0.4995653	0.9622304	0.4441617	0.9008539	0.3826965	0.4240232	0.1640669	0.1714925	0.9677397	0.9184607
950	0.5127258	0.8325115	0.4667785	0.9909272	0.4367006	0.4250738	0.1461658	0.1738409	0.9765199	1.0149412
1000	0.5673875	0.9585445	0.5232357	1.0001551	0.3888618	0.4004216	0.1737185	0.1631523	0.9817798	1.0325572

0	0.6258613	0.8564099	0.5109283	0.9797785	0.4305379	0.5426353	0.1059473	0.1415658	1.0748207	1.0311001
50	0.5623000	0.9190236	0.5310997	0.9455368	0.2976885	0.5748477	0.0873457	0.0602005	0.9842552	0.8464311
100	0.5653741	0.9190392	0.5063961	0.9457209	0.2590599	0.7939069	0.0485745	0.0571855	1.0606852	0.8524369
150	0.5764006	0.8853933	0.5020698	0.9917807	0.3010734	0.7961884	0.0474761	0.0450179	0.9748016	0.8853756
200	0.5777988	0.8635419	0.4360555	1.0358364	0.3031861	0.8067055	0.0463891	0.0414599	1.0869477	0.9207641
250	0.6057657	0.8629914	0.5679267	1.0822416	0.2768230	0.7254640	0.0525983	0.0480438	0.9906383	0.9894549
300	0.5480708	0.9236213	0.5621423	0.9745692	0.3022212	0.7840141	0.0494277	0.0480260	1.0462573	0.9672900
350	0.5119185	0.9688666	0.5707576	1.0038555	0.3282698	0.7928615	0.0636429	0.0409830	0.9490397	0.8841781
400	0.5551776	0.9170437	0.4776030	1.0515337	0.3056102	0.8412100	0.0426306	0.0359130	1.0223856	0.9712349
450	0.5530601	0.9378712	0.4984579	1.0278156	0.2966265	0.7933084	0.0584427	0.0382019	1.0556459	0.9377282
500	0.5521474	0.9728008	0.4952503	1.0664716	0.2988122	0.7502827	0.0497800	0.0402292	0.9914822	0.9485639
550	0.5468577	0.9069347	0.4781844	1.0311241	0.4623670	0.7782066	0.0460807	0.0904005	1.0687125	0.9834304
600	0.6157279	0.9231140	0.4787291	0.9971363	0.4477752	0.5847502	0.0512406	0.1719906	1.0794730	1.0133143
650	0.6110170	0.8768148	0.5063361	1.0014266	0.4590884	0.3791579	0.0743112	0.1779726	0.9731030	0.9876228
700	0.5665246	0.9961685	0.5275596	0.9474991	0.4552975	0.4025661	0.1334127	0.1458299	0.9800651	0.9098435
750	0.5595660	0.8962614	0.4821799	1.0589349	0.4590416	0.3049903	0.1397534	0.1869565	1.0792513	1.0629770
800	0.5818537	0.9567951	0.5071617	1.0059887	0.4638709	0.2279145	0.1362017	0.1929862	1.0438991	0.9836523
850	0.5102565	1.0181911	0.4826985	0.9434820	0.4826596	0.2907969	0.1536910	0.1591579	1.0423426	0.9823607
