"Time"	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C

0	0.5682255	0.3371088	0.4978833	0.7517943	0.7045936	1.0366459	0.0484950	0.8679943	1.0357920	0.9420645
50	0.6018223	0.3142785	0.5275460	0.7221221	0.6918546	0.9601407	0.6936503	1.0233302	0.5885306	0.9716404
100	0.6485150	0.2988448	0.5190439	0.6837631	0.6447963	0.8279730	0.7779902	0.9836072	0.5567948	0.9758781
150	0.6021522	0.2846656	0.5007744	0.7690742	0.5721424	0.6999708	0.7941570	0.9250095	0.5279633	1.0149739
200	0.6257138	0.2998394	0.5225458	0.7434264	0.4767904	0.5965099	0.7899434	0.8742049	0.5271561	0.8963520
250	0.6128877	0.3334298	0.5155133	0.6544716	0.4380600	0.6010938	0.8800749	0.9037472	0.4744912	0.9811009
300	0.5510951	0.3506430	0.5284761	0.6816391	0.4245601	0.5111984	0.8307313	0.9061367	0.5192649	1.0557065
350	0.5205061	0.3482854	0.5186974	0.6581145	0.4269839	0.5172872	0.8136917	0.9871720	0.5700955	0.9638085
400	0.6263762	0.2439731	0.5178734	0.6677572	0.3240344	0.5217345	0.8330083	0.8752786	0.5248307	1.0688858
450	0.6001708	0.2615213	0.5633137	0.5090004	0.3607420	0.5516920	0.8986933	0.8576431	0.5184671	1.0375506
500	0.5245911	0.2845495	0.5980418	0.6527738	0.3930753	0.5666764	0.8214729	0.7998388	0.4926766	1.0230846
550	0.5050462	0.3783172	0.5551092	0.5828316	0.3416128	0.6617853	0.1488528	0.6861863	0.9390494	0.9567773
600	0.5934793	0.2836511	0.5698058	0.6003480	0.4548965	0.8660969	0.0661868	0.7212951	0.9799896	0.9751591
650	0.5294081	0.3834091	0.6059823	0.6067058	0.5709891	0.9789870	0.0375573	0.7717740	1.0172389	1.0401922
700	0.4607692	0.4312585	0.5415027	0.6797771	0.6640754	1.0450517	0.0405701	0.8491345	0.9145425	1.1139516
750	0.4636323	0.4330144	0.5271979	0.6612449	0.6355600	1.0499219	0.0496377	0.8650267	0.9441315	1.0825637
800	0.5426728	0.2950196	0.4449227	0.7864253	0.6604098	0.9880895	0.0629547	0.7993946	0.9896024	1.0243166
850	0.5881300	0.2350703	0.4385226	0.8258306	0.6395860	0.9852914	0.0586068	0.8870660	0.9942786	0.9453842
900	0.5569324	0.2605268	0.4706447	0.8030140	0.6411188	0.9689403	0.0383867	0.9066070	0.9720451	1.0068811
950	0.6022981	0.2662452	0.4681333	0.7555208	0.6767086	1.0071497	0.0228198	0.9029548	1.0465577	1.0014935
1000	0.6057513	0.2585397	0.4599069	0.7963919	0.6661867	1.0209288	0.0485476	0.8570994	1.0877580	1.0738827

0	0.5682255	0.3371088	0.4978833	0.7517943	0.7045936	1.0366459	0.0484950	0.8679943	1.0357920	0.9420645
