YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0000004	0.8991724	0.5625503	0.7997933	0.5260891	0.8075364	0.9547815	0.0538505	0.1882806	1.0000000
0.9999966	0.0000011	0.5625503	0.7997933	0.5260891	0.9999966	0.9547815	0.0538505	0.1882806	1.0000000
0.9999578	0.0513555	0.0000005	0.7997933	0.5260891	0.9997612	0.9547815	0.0538505	0.1882806	1.0000000
0.5311970	0.9857288	0.9999992	0.0000001	0.5260891	0.8057085	0.9547815	0.0538505	0.1882806	1.0000000
0.5312558	0.9857230	0.9999831	0.0029720	0.0000000	0.8057096	0.9547815	0.0538505	0.1882806	1.0000000
0.6123711	0.8991724	0.5625503	0.7997933	0.5260891	0.0000011	0.9547815	0.0538505	0.1882806	1.0000000
0.5312469	0.9857203	0.9999172	0.0070741	0.0182610	0.2327905	0.0000000	0.0538505	0.1882806	1.0000000
0.6185687	0.8922173	0.5505620	0.8211775	0.5632355	0.8152154	1.0000000	0.0000000	0.1882806	1.0000000
0.6125215	0.8989234	0.5619690	0.8009350	0.5279883	0.8079258	0.9570417	0.0520305	0.0000000	1.0000000
0.5312873	0.9856876	0.9993437	0.0206104	0.0375167	0.5557738	0.2846835	0.6969916	1.0000000	0.0000000
