YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.3582026	0.4018971	0.7063375	0.2980401	0.3008617	0.4525724	0.4639962	0.0558086	0.6656587	0.0082545
0.6729489	0.2903831	0.7216184	0.2736532	0.2304787	0.4070701	0.4830154	0.0623655	0.6679366	0.0137184
0.8555224	0.5957933	0.3080837	0.3791215	0.3112311	0.5029364	0.5384087	0.1155584	0.6062629	0.1151263
0.7067328	0.7593396	0.8275784	0.1166457	0.3370347	0.5240009	0.4575817	0.0918628	0.8592262	0.0591647
0.7394835	0.5682005	0.3605842	0.5600986	0.2306379	0.6890438	0.6157304	0.0326896	0.8990816	0.0448325
0.6812264	0.4764681	0.4379747	0.7498409	0.2008971	0.3656413	0.5788597	0.0454158	0.7440633	0.1134337
0.8187755	0.7400642	0.8239379	0.1073713	0.4772141	0.7067975	0.1892259	0.1277851	0.8020408	0.0530645
0.7246102	0.6586221	0.6846603	0.4263353	0.2619187	0.4753093	0.5390739	0.0448291	0.6086031	0.0192646
0.6602511	0.6765949	0.6284098	0.3656563	0.3020171	0.5062411	0.6358635	0.0227979	0.2933831	0.0815547
0.7955731	0.5730186	0.7826533	0.2558858	0.3255151	0.5008513	0.4348782	0.0844881	0.7293819	0.0141978
